"",BBK01.OEAD12K,BBK01.OEAD12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:35,
2002-01,0.180,
2002-04,0.143,
2002-07,0.224,
2002-10,0.135,
2003-01,0.216,
2003-04,0.159,
2003-07,0.113,
2003-10,0.133,
2004-01,0.212,
2004-04,0.152,
2004-07,0.299,
2004-10,0.159,
2005-01,0.157,
2005-04,0.203,
2005-07,0.117,
2005-10,0.190,
2006-01,0.135,
2006-04,0.170,
2006-07,0.205,
2006-10,0.121,
2007-01,0.095,
2007-04,0.116,
2007-07,0.105,
2007-10,0.138,
2008-01,0.119,
2008-04,0.167,
2008-07,0.198,
2008-10,0.180,
2009-01,0.162,
2009-04,0.143,
2009-07,0.237,
2009-10,0.203,
2010-01,0.134,
2010-04,0.071,
2010-07,0.075,
2010-10,0.102,
2011-01,0.111,
2011-04,0.138,
2011-07,0.112,
2011-10,0.122,
2012-01,0.114,
2012-04,0.134,
2012-07,0.099,
2012-10,0.139,
2013-01,0.102,
2013-04,0.131,
2013-07,0.102,
2013-10,0.121,
2014-01,0.111,
2014-04,0.096,
2014-07,0.143,
