"",BBK01.OEXB12H,BBK01.OEXB12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:04,
2002-01,1.694,
2002-04,1.723,
2002-07,1.694,
2002-10,1.616,
2003-01,1.724,
2003-04,1.700,
2003-07,1.725,
2003-10,1.744,
2004-01,1.685,
2004-04,1.703,
2004-07,1.670,
2004-10,1.704,
2005-01,1.806,
2005-04,1.816,
2005-07,1.830,
2005-10,1.961,
2006-01,1.672,
2006-04,1.757,
2006-07,1.815,
2006-10,1.928,
2007-01,1.958,
2007-04,2.153,
2007-07,2.282,
2007-10,2.323,
2008-01,2.497,
2008-04,2.579,
2008-07,2.604,
2008-10,2.466,
2009-01,2.447,
2009-04,2.527,
2009-07,2.587,
2009-10,2.748,
2010-01,2.738,
2010-04,2.767,
2010-07,2.854,
2010-10,2.902,
2011-01,2.918,
2011-04,2.885,
2011-07,2.899,
2011-10,3.357,
2012-01,3.464,
2012-04,3.614,
2012-07,3.737,
2012-10,3.842,
2013-01,4.038,
2013-04,4.170,
2013-07,4.395,
2013-10,4.553,
2014-01,4.630,
2014-04,4.677,
2014-07,4.748,
