"",BBK01.OEAA24U,BBK01.OEAA24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:49,
2002-01,0.121,
2002-04,0.124,
2002-07,0.111,
2002-10,0.109,
2003-01,0.111,
2003-04,0.115,
2003-07,0.123,
2003-10,0.132,
2004-01,0.138,
2004-04,0.138,
2004-07,0.143,
2004-10,0.144,
2005-01,0.158,
2005-04,0.157,
2005-07,0.159,
2005-10,0.164,
2006-01,0.165,
2006-04,0.165,
2006-07,0.164,
2006-10,0.169,
2007-01,0.170,
2007-04,0.172,
2007-07,0.175,
2007-10,0.179,
2008-01,0.181,
2008-04,0.185,
2008-07,0.191,
2008-10,0.195,
2009-01,0.195,
2009-04,0.199,
2009-07,0.199,
2009-10,0.203,
2010-01,0.206,
2010-04,0.208,
2010-07,0.215,
2010-10,0.220,
2011-01,0.222,
2011-04,0.220,
2011-07,0.216,
2011-10,0.221,
2012-01,0.222,
2012-04,0.225,
2012-07,0.224,
2012-10,0.233,
2013-01,0.234,
2013-04,0.235,
2013-07,0.238,
2013-10,0.237,
2014-01,0.239,
2014-04,0.244,
2014-07,0.235,
