"",BBFB1.Q.N.DE.NL.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:07,
1991-01,1180.887,
1991-04,583.881,
1991-07,1631.199,
1991-10,2565.128,
1992-01,-4085.454,
1992-04,350.524,
1992-07,-188.320,
1992-10,-628.043,
1993-01,2770.717,
1993-04,762.204,
1993-07,106.760,
1993-10,1446.370,
1994-01,-149.541,
1994-04,158.918,
1994-07,728.427,
1994-10,-1205.299,
1995-01,4557.639,
1995-04,191.826,
1995-07,-865.459,
1995-10,-730.554,
1996-01,3117.171,
1996-04,-109.607,
1996-07,33.827,
1996-10,2053.461,
1997-01,-37.563,
1997-04,2017.008,
1997-07,3376.191,
1997-10,3429.525,
1998-01,6889.233,
1998-04,6139.132,
1998-07,5461.320,
1998-10,6314.606,
1999-01,-7511.316,
1999-04,34551.729,
1999-07,15471.122,
1999-10,14095.519,
2000-01,9989.706,
2000-04,-5189.470,
2000-07,25374.924,
2000-10,766.959,
2001-01,7557.009,
2001-04,7950.606,
2001-07,5457.957,
2001-10,1216.868,
2002-01,10981.611,
2002-04,6317.279,
2002-07,6916.686,
2002-10,6610.161,
2003-01,6672.807,
2003-04,7485.619,
2003-07,-4195.937,
2003-10,7743.768,
2004-01,-1378.583,
2004-04,334.476,
2004-07,913.064,
2004-10,3991.465,
2005-01,1637.366,
2005-04,5250.040,
2005-07,-5850.222,
2005-10,-913.178,
2006-01,12171.430,
2006-04,1573.536,
2006-07,8643.616,
2006-10,8321.501,
2007-01,10203.160,
2007-04,16379.828,
2007-07,13282.232,
2007-10,-10204.601,
2008-01,11209.910,
2008-04,18250.967,
2008-07,-1294.843,
2008-10,19758.044,
2009-01,19972.091,
2009-04,3573.851,
2009-07,4368.367,
2009-10,7495.260,
2010-01,9639.541,
2010-04,11637.701,
2010-07,7006.672,
2010-10,16852.978,
2011-01,12860.352,
2011-04,26033.912,
2011-07,7572.628,
2011-10,4787.320,
2012-01,14760.684,
2012-04,13556.457,
2012-07,14472.533,
2012-10,9902.215,
2013-01,17942.496,
2013-04,4023.581,
2013-07,3128.116,
2013-10,-11094.631,
2014-01,12023.687,Provisional value
2014-04,5349.377,Provisional value
2014-07,1672.563,Provisional value
2014-10,7001.694,Provisional value
