"",BBK01.OEAO04S,BBK01.OEAO04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:26,
2002-01,-0.121,
2002-04,-0.229,
2002-07,-0.001,
2002-10,0.105,
2003-01,0.058,
2003-04,-0.127,
2003-07,-0.033,
2003-10,0.017,
2004-01,-0.067,
2004-04,-0.160,
2004-07,-0.092,
2004-10,0.019,
2005-01,-,Nothing exists
2005-04,-0.100,
2005-07,0.004,
2005-10,0.026,
2006-01,0.103,
2006-04,-0.077,
2006-07,-0.113,
2006-10,-0.023,
2007-01,0.143,
2007-04,-0.043,
2007-07,0.007,
2007-10,0.064,
2008-01,-0.089,
2008-04,-0.060,
2008-07,-0.172,
2008-10,0.143,
2009-01,-0.004,
2009-04,0.001,
2009-07,0.082,
2009-10,0.124,
2010-01,0.146,
2010-04,0.061,
2010-07,0.066,
2010-10,0.166,
2011-01,0.093,
2011-04,-0.085,
2011-07,0.005,
2011-10,0.043,
2012-01,0.074,
2012-04,-0.034,
2012-07,-0.026,
2012-10,0.031,
2013-01,0.002,
2013-04,-0.054,
2013-07,0.021,
2013-10,0.080,
2014-01,0.050,
2014-04,-0.028,
2014-07,0.097,
