"",BBDE1.M.DE.W.AEM1.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEM1.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Industry / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:51,
2010-01,88.3,
2010-02,90.6,
2010-03,103.4,
2010-04,97.6,
2010-05,98.8,
2010-06,102.7,
2010-07,102.2,
2010-08,95.0,
2010-09,103.6,
2010-10,104.4,
2010-11,108.6,
2010-12,99.4,
2011-01,111.1,
2011-02,111.0,
2011-03,120.1,
2011-04,109.1,
2011-05,108.1,
2011-06,110.9,
2011-07,111.6,
2011-08,101.6,
2011-09,108.6,
2011-10,108.4,
2011-11,107.7,
2011-12,99.4,
2012-01,107.3,
2012-02,107.6,
2012-03,118.0,
2012-04,107.6,
2012-05,108.9,
2012-06,109.4,
2012-07,108.8,
2012-08,98.5,
2012-09,105.8,
2012-10,107.3,
2012-11,107.2,
2012-12,99.6,
2013-01,105.6,
2013-02,106.4,
2013-03,117.9,
2013-04,107.3,
2013-05,106.5,
2013-06,111.3,
2013-07,108.9,
2013-08,100.7,
2013-09,109.7,
2013-10,110.4,
2013-11,112.1,
2013-12,102.1,
2014-01,112.1,
2014-02,112.1,
2014-03,120.5,
2014-04,111.4,
2014-05,107.9,
2014-06,112.8,
2014-07,112.9,
2014-08,100.1,
2014-09,110.8,
2014-10,115.1,
2014-11,114.8,
2014-12,107.5,Provisional value
