"",BBK01.CEFA0N,BBK01.CEFA0N_FLAGS
"",short-term debt securities  debtor: Total                              creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:15,
1999-01,25.7,
1999-04,31.7,
1999-07,47.8,
1999-10,66.6,
2000-01,61.0,
2000-04,73.3,
2000-07,73.0,
2000-10,66.9,
2001-01,56.4,
2001-04,51.5,
2001-07,54.0,
2001-10,55.5,
2002-01,48.7,
2002-04,58.1,
2002-07,78.3,
2002-10,81.5,
2003-01,105.5,
2003-04,109.4,
2003-07,98.2,
2003-10,95.2,
2004-01,88.7,
2004-04,88.0,
2004-07,88.0,
2004-10,80.8,
2005-01,89.6,
2005-04,86.4,
2005-07,85.3,
2005-10,77.9,
2006-01,112.5,
2006-04,111.4,
2006-07,108.3,
2006-10,102.8,
2007-01,116.7,
2007-04,121.5,
2007-07,129.7,
2007-10,149.8,
2008-01,165.0,
2008-04,156.6,
2008-07,160.7,
2008-10,180.8,
2009-01,166.5,
2009-04,183.4,
2009-07,193.0,
2009-10,190.6,
2010-01,189.6,
2010-04,177.4,
2010-07,175.5,
2010-10,158.3,
2011-01,173.7,
2011-04,166.2,
2011-07,200.6,
2011-10,209.4,
2012-01,202.5,
2012-04,208.8,
2012-07,189.2,
2012-10,191.7,
2013-01,206.2,
2013-04,203.3,
2013-07,194.7,
2013-10,164.4,
2014-01,166.8,
2014-04,158.8,
2014-07,170.9,
