"",BBK01.PQ1634,BBK01.PQ1634_FLAGS
"",Other loans to domestic employees  and other individuals / Short-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:26:47,
1968-10,0.756,
1969-01,0.786,
1969-04,0.836,
1969-07,0.855,
1969-10,0.916,
1970-01,0.930,
1970-04,0.989,
1970-07,1.007,
1970-10,1.027,
1971-01,1.077,
1971-04,1.172,
1971-07,1.220,
1971-10,1.333,
1972-01,1.387,
1972-04,1.521,
1972-07,1.590,
1972-10,1.756,
1973-01,1.810,
1973-04,1.919,
1973-07,1.914,
1973-10,2.138,
1974-01,2.093,
1974-04,2.178,
1974-07,2.195,
1974-10,2.240,
1975-01,2.205,
1975-04,2.236,
1975-07,2.260,
1975-10,2.342,
1976-01,2.387,
1976-04,2.542,
1976-07,2.633,
1976-10,2.727,
1977-01,2.802,
1977-04,3.008,
1977-07,3.086,
1977-10,3.242,
1978-01,3.314,
1978-04,3.540,
1978-07,3.697,
1978-10,3.783,
1979-01,3.798,
1979-04,4.078,
1979-07,4.249,
1979-10,4.389,
1980-01,4.594,
1980-04,4.752,
1980-07,4.919,
1980-10,5.058,
1981-01,5.119,
1981-04,5.279,
1981-07,5.432,
1981-10,5.503,
1982-01,5.541,
1982-04,5.764,
1982-07,5.811,
1982-10,5.826,
1983-01,5.940,
1983-04,6.048,
1983-07,6.089,
1983-10,6.025,
1984-01,6.026,
1984-04,6.364,
1984-07,6.392,
1984-10,6.220,
1985-01,6.181,
1985-04,6.350,
1985-07,6.472,
1985-10,7.118,
1986-01,7.077,
1986-04,7.333,
1986-07,7.236,
1986-10,6.901,
1987-01,6.799,
1987-04,6.971,
1987-07,6.959,
1987-10,6.788,
1988-01,6.872,
1988-04,6.983,
1988-07,6.971,
1988-10,6.765,
1989-01,6.912,
1989-04,7.264,
1989-07,7.437,
1989-10,7.466,
1990-01,7.465,
1990-04,7.791,
1990-07,7.988,
1990-10,8.203,
1991-01,8.490,
1991-04,8.844,
1991-07,9.122,
1991-10,9.216,
1992-01,9.263,
1992-04,9.689,
1992-07,9.658,
1992-10,9.764,
1993-01,9.671,
1993-04,10.037,
1993-07,10.230,
1993-10,10.205,
1994-01,10.007,
1994-04,10.379,
1994-07,10.436,
1994-10,10.425,
1995-01,10.400,
1995-04,10.722,
1995-07,10.922,
1995-10,10.730,
1996-01,10.222,
1996-04,10.425,
1996-07,10.631,
1996-10,10.949,
1997-01,10.438,
1997-04,10.729,
1997-07,10.966,
1997-10,10.881,
1998-01,10.768,
1998-04,11.155,
1998-07,11.535,
1998-10,11.474,
1999-01,11.300,
1999-04,11.451,
1999-07,11.264,
1999-10,11.135,
2000-01,10.741,
2000-04,10.957,
2000-07,11.042,
2000-10,11.017,
2001-01,10.490,
2001-04,10.616,
2001-07,10.698,
2001-10,10.365,
2002-01,9.969,
2002-04,10.189,
2002-07,10.439,
2002-10,10.177,
2003-01,9.518,
2003-04,9.514,
2003-07,9.432,
2003-10,9.048,
2004-01,8.438,
2004-04,8.495,
2004-07,8.526,
2004-10,8.085,
2005-01,7.849,
2005-04,7.872,
2005-07,7.960,
2005-10,7.678,
2006-01,7.412,
2006-04,7.583,
2006-07,7.573,
2006-10,7.190,
2007-01,6.973,
2007-04,7.031,
2007-07,7.050,
2007-10,7.060,
2008-01,6.895,
2008-04,6.988,
2008-07,7.133,
2008-10,6.883,
2009-01,6.605,
2009-04,6.681,
2009-07,6.671,
2009-10,6.325,
2010-01,6.263,
2010-04,6.634,
2010-07,6.647,
2010-10,6.259,
2011-01,6.284,
2011-04,6.348,
2011-07,6.380,
2011-10,5.859,
2012-01,5.888,
2012-04,5.868,
2012-07,5.906,
2012-10,5.767,
2013-01,5.683,
2013-04,5.666,
2013-07,5.844,
2013-10,5.690,
2014-01,5.589,
2014-04,5.656,
2014-07,5.669,
2014-10,5.245,
