"",BBK01.OEAH26J,BBK01.OEAH26J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:04,
2002-01,4.394,
2002-04,4.293,
2002-07,4.304,
2002-10,4.501,
2003-01,4.648,
2003-04,4.686,
2003-07,4.774,
2003-10,4.918,
2004-01,5.002,
2004-04,5.044,
2004-07,5.483,
2004-10,5.328,
2005-01,5.638,
2005-04,5.695,
2005-07,5.688,
2005-10,5.806,
2006-01,5.822,
2006-04,5.758,
2006-07,5.659,
2006-10,5.559,
2007-01,5.305,
2007-04,5.111,
2007-07,4.899,
2007-10,4.865,
2008-01,4.677,
2008-04,4.506,
2008-07,4.300,
2008-10,4.378,
2009-01,4.579,
2009-04,4.570,
2009-07,4.629,
2009-10,4.820,
2010-01,4.867,
2010-04,4.830,
2010-07,4.832,
2010-10,4.880,
2011-01,4.854,
2011-04,4.811,
2011-07,4.772,
2011-10,4.835,
2012-01,4.936,
2012-04,4.984,
2012-07,5.012,
2012-10,5.148,
2013-01,5.210,
2013-04,5.218,
2013-07,5.226,
2013-10,5.302,
2014-01,5.087,
2014-04,5.034,
2014-07,5.002,
