"",BBK01.OEXB17M,BBK01.OEXB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:51,
2002-01,16.191,
2002-04,16.524,
2002-07,16.972,
2002-10,17.212,
2003-01,17.464,
2003-04,17.772,
2003-07,18.126,
2003-10,18.237,
2004-01,18.026,
2004-04,18.306,
2004-07,18.693,
2004-10,17.831,
2005-01,17.806,
2005-04,17.969,
2005-07,17.643,
2005-10,17.827,
2006-01,17.847,
2006-04,18.214,
2006-07,18.705,
2006-10,17.677,
2007-01,17.652,
2007-04,17.190,
2007-07,17.544,
2007-10,17.594,
2008-01,16.773,
2008-04,16.927,
2008-07,15.832,
2008-10,16.085,
2009-01,16.755,
2009-04,17.796,
2009-07,18.404,
2009-10,18.413,
2010-01,18.628,
2010-04,18.715,
2010-07,19.150,
2010-10,19.365,
2011-01,18.964,
2011-04,18.784,
2011-07,18.653,
2011-10,18.876,
2012-01,19.091,
2012-04,19.688,
2012-07,20.132,
2012-10,20.535,
2013-01,20.114,
2013-04,20.754,
2013-07,20.842,
2013-10,21.340,
2014-01,21.674,
2014-04,21.384,
2014-07,22.032,
