"",BBDE1.Q.DE.Y.LCC1.A2N200000.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.A2N200000.A.L.I08.A1_FLAGS
"",Index of non-wage costs / Germany / Private sector (B-N) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:23,
1996-01,86.304,
1996-04,84.648,
1996-07,86.563,
1996-10,88.107,
1997-01,88.991,
1997-04,87.635,
1997-07,88.405,
1997-10,88.958,
1998-01,88.325,
1998-04,89.079,
1998-07,89.967,
1998-10,91.298,
1999-01,89.403,
1999-04,90.721,
1999-07,90.433,
1999-10,91.434,
2000-01,94.182,
2000-04,94.849,
2000-07,95.956,
2000-10,97.696,
2001-01,97.145,
2001-04,98.297,
2001-07,98.410,
2001-10,98.892,
2002-01,101.594,
2002-04,99.897,
2002-07,101.079,
2002-10,100.760,
2003-01,104.398,
2003-04,105.069,
2003-07,104.907,
2003-10,104.440,
2004-01,104.984,
2004-04,105.487,
2004-07,104.986,
2004-10,103.657,
2005-01,104.115,
2005-04,103.554,
2005-07,101.511,
2005-10,101.670,
2006-01,103.579,
2006-04,102.252,
2006-07,103.205,
2006-10,103.260,
2007-01,100.368,
2007-04,99.645,
2007-07,99.164,
2007-10,99.340,
2008-01,98.586,
2008-04,98.074,
2008-07,100.568,
2008-10,102.772,
2009-01,101.916,
2009-04,102.860,
2009-07,103.396,
2009-10,103.259,
2010-01,105.615,
2010-04,106.233,
2010-07,107.209,
2010-10,107.399,
2011-01,107.494,
2011-04,108.680,
2011-07,108.191,
2011-10,109.808,
2012-01,109.867,
2012-04,111.305,
2012-07,111.798,
2012-10,112.082,
2013-01,115.923,
2013-04,112.195,
2013-07,111.636,
2013-10,113.207,
2014-01,113.003,
2014-04,115.392,
2014-07,115.055,
