"",BBFB1.Q.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:06,
1991-01,-11359.161,
1991-04,-5559.178,
1991-07,-6223.546,
1991-10,-7014.401,
1992-01,-7284.563,
1992-04,-5903.472,
1992-07,-6387.059,
1992-10,-6738.052,
1993-01,-6497.417,
1993-04,-6762.222,
1993-07,-7177.867,
1993-10,-8456.329,
1994-01,-7811.012,
1994-04,-7168.932,
1994-07,-7970.202,
1994-10,-8416.430,
1995-01,-7406.570,
1995-04,-6642.397,
1995-07,-7005.530,
1995-10,-8477.080,
1996-01,-8060.067,
1996-04,-7464.419,
1996-07,-5603.072,
1996-10,-7086.812,
1997-01,-9281.835,
1997-04,-6028.517,
1997-07,-7568.648,
1997-10,-5973.061,
1998-01,-10684.277,
1998-04,-4566.643,
1998-07,-7023.734,
1998-10,-6999.620,
1999-01,-7995.837,
1999-04,-4956.625,
1999-07,-7123.064,
1999-10,-6626.019,
2000-01,-8656.024,
2000-04,-6632.115,
2000-07,-6653.350,
2000-10,-7985.024,
2001-01,-8654.743,
2001-04,-7439.019,
2001-07,-5744.091,
2001-10,-7313.628,
2002-01,-9122.505,
2002-04,-7739.601,
2002-07,-5520.937,
2002-10,-7025.383,
2003-01,-8769.150,
2003-04,-7122.423,
2003-07,-8453.818,
2003-10,-6742.701,
2004-01,-9205.615,
2004-04,-6413.668,
2004-07,-8073.332,
2004-10,-6325.094,
2005-01,-11044.426,
2005-04,-5776.486,
2005-07,-7576.961,
2005-10,-6725.816,
2006-01,-10131.035,
2006-04,-4566.795,
2006-07,-8634.855,
2006-10,-8916.353,
2007-01,-11842.414,
2007-04,-3885.346,
2007-07,-8171.508,
2007-10,-9834.071,
2008-01,-10881.195,
2008-04,-4153.692,
2008-07,-7988.566,
2008-10,-11325.182,
2009-01,-10408.736,
2009-04,-4891.428,
2009-07,-7619.211,
2009-10,-12010.684,
2010-01,-13225.260,
2010-04,-5523.747,
2010-07,-9871.145,
2010-10,-11031.265,
2011-01,-12544.957,
2011-04,-3759.622,
2011-07,-8681.830,
2011-10,-9828.164,
2012-01,-13951.153,
2012-04,-5439.261,
2012-07,-8425.856,
2012-10,-10876.187,
2013-01,-15184.362,
2013-04,-7440.871,
2013-07,-9557.259,
2013-10,-11160.046,
2014-01,-14780.033,Provisional value
2014-04,-6919.414,Provisional value
2014-07,-7990.188,Provisional value
