"",BBK01.OEAE18P,BBK01.OEAE18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:10,
2002-01,0.098,
2002-04,0.093,
2002-07,0.086,
2002-10,0.087,
2003-01,0.070,
2003-04,0.074,
2003-07,0.076,
2003-10,0.094,
2004-01,0.059,
2004-04,0.060,
2004-07,0.058,
2004-10,0.067,
2005-01,0.061,
2005-04,0.070,
2005-07,0.070,
2005-10,0.077,
2006-01,0.059,
2006-04,0.055,
2006-07,0.057,
2006-10,0.068,
2007-01,0.061,
2007-04,0.057,
2007-07,0.040,
2007-10,0.043,
2008-01,0.036,
2008-04,0.039,
2008-07,0.038,
2008-10,0.041,
2009-01,0.045,
2009-04,0.042,
2009-07,0.046,
2009-10,0.067,
2010-01,0.047,
2010-04,0.038,
2010-07,0.035,
2010-10,0.036,
2011-01,0.039,
2011-04,0.031,
2011-07,0.031,
2011-10,0.031,
2012-01,0.030,
2012-04,0.030,
2012-07,0.034,
2012-10,0.033,
2013-01,0.037,
2013-04,0.033,
2013-07,0.033,
2013-10,0.032,
2014-01,0.036,
2014-04,0.034,
2014-07,0.033,
