"",BBK01.OEGB21I,BBK01.OEGB21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:06,
2002-01,8.609,
2002-04,8.267,
2002-07,7.824,
2002-10,8.460,
2003-01,8.001,
2003-04,7.786,
2003-07,7.675,
2003-10,7.091,
2004-01,6.927,
2004-04,6.744,
2004-07,6.303,
2004-10,6.157,
2005-01,6.016,
2005-04,5.758,
2005-07,6.481,
2005-10,6.351,
2006-01,5.381,
2006-04,6.042,
2006-07,5.631,
2006-10,6.332,
2007-01,5.277,
2007-04,4.988,
2007-07,4.501,
2007-10,4.501,
2008-01,4.500,
2008-04,3.463,
2008-07,3.125,
2008-10,3.367,
2009-01,3.385,
2009-04,4.669,
2009-07,5.065,
2009-10,5.239,
2010-01,5.261,
2010-04,4.444,
2010-07,4.665,
2010-10,3.636,
2011-01,6.849,
2011-04,6.562,
2011-07,4.623,
2011-10,4.992,
2012-01,4.956,
2012-04,4.586,
2012-07,4.402,
2012-10,3.965,
2013-01,3.469,
2013-04,3.402,
2013-07,3.230,
2013-10,3.143,
2014-01,3.100,
2014-04,2.850,
2014-07,2.548,
