"",BBK01.OELJ07H,BBK01.OELJ07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:57,
2002-01,0.302,
2002-04,0.314,
2002-07,0.340,
2002-10,0.336,
2003-01,0.352,
2003-04,0.367,
2003-07,0.388,
2003-10,0.389,
2004-01,0.432,
2004-04,0.462,
2004-07,0.478,
2004-10,0.479,
2005-01,0.507,
2005-04,0.534,
2005-07,0.547,
2005-10,0.542,
2006-01,0.556,
2006-04,0.573,
2006-07,0.584,
2006-10,0.595,
2007-01,0.601,
2007-04,0.595,
2007-07,0.594,
2007-10,0.587,
2008-01,0.591,
2008-04,0.597,
2008-07,0.605,
2008-10,0.609,
2009-01,0.651,
2009-04,0.688,
2009-07,0.746,
2009-10,0.764,
2010-01,0.816,
2010-04,0.847,
2010-07,0.874,
2010-10,0.840,
2011-01,0.861,
2011-04,0.883,
2011-07,0.886,
2011-10,0.889,
2012-01,0.917,
2012-04,0.932,
2012-07,0.979,
2012-10,1.000,
2013-01,1.045,
2013-04,1.063,
2013-07,1.093,
2013-10,1.121,
2014-01,1.162,
2014-04,1.193,
2014-07,1.212,
