"",BBFN1.M.DE.N.1.L.DK.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:13,
1975-12,0.002,
1976-01,0.003,
1976-02,0.003,
1976-03,0.003,
1976-04,0.003,
1976-05,0.003,
1976-06,0.003,
1976-07,0.003,
1976-08,0.003,
1976-09,0.003,
1976-10,0.003,
1976-11,-,Nothing exists
1976-12,-,Nothing exists
1977-01,-,Nothing exists
1977-02,-,Nothing exists
1977-03,-,Nothing exists
1977-04,-,Nothing exists
1977-05,-,Nothing exists
1977-06,-,Nothing exists
1977-07,-,Nothing exists
1977-08,-,Nothing exists
1977-09,-,Nothing exists
1977-10,-,Nothing exists
1977-11,-,Nothing exists
1977-12,-,Nothing exists
1978-01,-,Nothing exists
1978-02,0.001,
1978-03,0.001,
1978-04,0.002,
1978-05,0.002,
1978-06,0.001,
1978-07,0.002,
1978-08,0.002,
1978-09,0.001,
1978-10,0.001,
1978-11,0.001,
1978-12,0.002,
1979-01,0.001,
1979-02,-,Nothing exists
1979-03,-,Nothing exists
1979-04,-,Nothing exists
1979-05,0.001,
1979-06,-,Nothing exists
1979-07,-,Nothing exists
1979-08,-,Nothing exists
1979-09,-,Nothing exists
1979-10,0.001,
1979-11,-,Nothing exists
1979-12,0.001,
1980-01,-,Nothing exists
1980-02,0.006,
1980-03,0.002,
1980-04,0.006,
1980-05,0.006,
1980-06,0.005,
1980-07,0.003,
1980-08,-,Nothing exists
1980-09,-,Nothing exists
1980-10,0.003,
1980-11,0.003,
1980-12,0.001,
1981-01,0.001,
1981-02,0.001,
1981-03,0.001,
1981-04,-,Nothing exists
1981-05,0.001,
1981-06,0.001,
1981-07,-,Nothing exists
1981-08,-,Nothing exists
1981-09,-,Nothing exists
1981-10,0.001,
1981-11,-,Nothing exists
1981-12,0.001,
1982-01,0.001,
1982-02,0.001,
1982-03,0.001,
1982-04,-,Nothing exists
1982-05,0.001,
1982-06,-,Nothing exists
1982-07,0.001,
1982-08,-,Nothing exists
1982-09,0.001,
1982-10,0.001,
1982-11,0.001,
1982-12,0.001,
1983-01,0.001,
1983-02,0.001,
1983-03,0.001,
1983-04,0.002,
1983-05,0.001,
1983-06,-,Nothing exists
1983-07,-,Nothing exists
1983-08,-,Nothing exists
1983-09,0.007,
1983-10,0.001,
1983-11,0.001,
1983-12,-,Nothing exists
1984-01,-,Nothing exists
1984-02,-,Nothing exists
1984-03,-,Nothing exists
1984-04,0.001,
1984-05,-,Nothing exists
1984-06,-,Nothing exists
1984-07,-,Nothing exists
1984-08,-,Nothing exists
1984-09,0.002,
1984-10,0.014,
1984-11,0.015,
1984-12,0.012,
1985-01,0.012,
1985-02,0.013,
1985-03,0.012,
1985-04,0.012,
1985-05,0.013,
1985-06,0.024,
1985-07,0.038,
1985-08,0.047,
1985-09,0.037,
1985-10,0.028,
1985-11,0.013,
1985-12,0.014,
1986-01,0.016,
1986-02,0.023,
1986-03,0.034,
1986-04,0.027,
1986-05,0.028,
1986-06,0.057,
1986-07,0.062,
1986-08,0.067,
1986-09,0.064,
1986-10,0.088,
1986-11,0.103,
1986-12,0.059,
1987-01,0.100,
1987-02,0.101,
1987-03,0.116,
1987-04,0.108,
1987-05,0.109,
1987-06,0.085,
1987-07,0.088,
1987-08,0.080,
1987-09,0.090,
1987-10,0.079,
1987-11,0.087,
1987-12,0.073,
1988-01,0.055,
1988-02,0.062,
1988-03,0.066,
1988-04,0.091,
1988-05,0.096,
1988-06,0.116,
1988-07,0.103,
1988-08,0.111,
1988-09,0.085,
1988-10,0.092,
1988-11,0.106,
1988-12,0.104,
1989-01,0.116,
1989-02,0.133,
1989-03,0.113,
1989-04,0.123,
1989-05,0.120,
1989-06,0.146,
1989-07,0.145,
1989-08,0.136,
1989-09,0.130,
1989-10,0.111,
1989-11,0.109,
1989-12,0.111,
1990-01,0.126,
1990-02,0.131,
1990-03,0.110,
1990-04,0.120,
1990-05,0.123,
1990-06,0.138,
1990-07,0.120,
1990-08,0.110,
1990-09,0.112,
1990-10,0.129,
1990-11,0.127,
1990-12,0.100,
1991-01,0.090,
1991-02,0.096,
1991-03,0.119,
1991-04,0.229,
1991-05,0.182,
1991-06,0.139,
1991-07,0.090,
1991-08,0.148,
1991-09,0.181,
1991-10,0.068,
1991-11,0.080,
1991-12,0.101,
1992-01,0.081,
1992-02,0.063,
1992-03,0.128,
1992-04,0.077,
1992-05,0.076,
1992-06,0.069,
1992-07,0.052,
1992-08,0.039,
1992-09,0.041,
1992-10,0.041,
1992-11,0.039,
1992-12,0.036,
1993-01,0.039,
1993-02,0.103,
1993-03,0.127,
1993-04,0.058,
1993-05,0.036,
1993-06,0.036,
1993-07,0.095,
1993-08,0.036,
1993-09,0.035,
1993-10,0.035,
1993-11,0.038,
1993-12,0.043,
1994-01,0.047,
1994-02,0.045,
1994-03,0.044,
1994-04,0.044,
1994-05,0.032,
1994-06,0.033,
1994-07,0.033,
1994-08,0.027,
1994-09,0.035,
1994-10,0.027,
1994-11,0.020,
1994-12,0.020,
1995-01,0.017,
1995-02,0.021,
1995-03,0.019,
1995-04,0.030,
1995-05,0.026,
1995-06,0.022,
1995-07,0.025,
1995-08,0.026,
1995-09,0.033,
1995-10,0.034,
1995-11,0.026,
1995-12,0.025,
1996-01,0.027,
1996-02,0.027,
1996-03,0.048,
1996-04,0.032,
1996-05,0.031,
1996-06,0.038,
1996-07,0.033,
1996-08,0.031,
1996-09,0.032,
1996-10,0.038,
1996-11,0.032,
1996-12,0.027,
1997-01,0.026,
1997-02,0.031,
1997-03,0.039,
1997-04,0.039,
1997-05,0.038,
1997-06,0.037,
1997-07,0.032,
1997-08,0.029,
1997-09,0.028,
1997-10,0.026,
1997-11,0.030,
1997-12,0.028,
1998-01,0.020,
1998-02,0.024,
1998-03,0.152,
1998-04,0.039,
1998-05,0.041,
1998-06,0.049,
1998-07,0.025,
1998-08,0.027,
1998-09,0.031,
1998-10,0.026,
1998-11,0.020,
1998-12,0.041,
1999-01,0.063,
1999-02,0.012,
1999-03,0.048,
1999-04,0.058,
1999-05,0.035,
1999-06,0.014,
1999-07,0.048,
1999-08,0.038,
1999-09,0.043,
1999-10,0.040,
1999-11,0.037,
1999-12,0.013,
2000-01,0.043,
2000-02,0.024,
2000-03,0.014,
2000-04,0.019,
2000-05,0.012,
2000-06,0.016,
2000-07,0.013,
2000-08,0.015,
2000-09,0.012,
2000-10,0.048,
2000-11,0.042,
2000-12,0.020,
2001-01,0.021,
2001-02,0.023,
2001-03,0.013,
2001-04,0.014,
2001-05,0.013,
2001-06,0.024,
2001-07,0.013,
2001-08,0.034,
2001-09,0.014,
2001-10,0.014,
2001-11,0.071,
2001-12,0.054,
2002-01,0.079,
2002-02,0.054,
2002-03,0.054,
2002-04,0.047,
2002-05,0.022,
2002-06,0.147,
2002-07,0.149,
2002-08,0.145,
2002-09,0.047,
2002-10,0.022,
2002-11,0.025,
2002-12,0.032,
2003-01,0.020,
2003-02,0.024,
2003-03,0.022,
2003-04,0.020,
2003-05,0.023,
2003-06,0.026,
2003-07,0.007,
2003-08,0.007,
2003-09,0.021,
2003-10,0.010,
2003-11,0.033,
2003-12,0.015,
2004-01,0.010,
2004-02,0.030,
2004-03,0.013,
2004-04,0.011,
2004-05,0.011,
2004-06,0.012,
2004-07,0.004,
2004-08,0.004,
2004-09,0.004,
2004-10,0.108,
2004-11,0.108,
2004-12,0.105,
2005-01,0.117,
2005-02,0.122,
2005-03,.,No value available
2005-04,.,No value available
2005-05,0.007,
2005-06,0.019,
2005-07,.,No value available
2005-08,0.014,
2005-09,0.023,
2005-10,0.012,
2005-11,0.021,
2005-12,0.053,
2006-01,0.099,
2006-02,0.116,
2006-03,0.038,
2006-04,0.042,
2006-05,0.112,
2006-06,0.028,
2006-07,0.037,
2006-08,0.036,
2006-09,0.070,
2006-10,0.052,
2006-11,0.063,
2006-12,1.090,
2007-01,1.092,
2007-02,0.996,
2007-03,0.945,
2007-04,0.397,
2007-05,0.219,
2007-06,0.116,
2007-07,0.164,
2007-08,0.079,
2007-09,0.317,
2007-10,0.134,
2007-11,0.157,
2007-12,0.419,
2008-01,0.316,
2008-02,0.364,
2008-03,0.330,
2008-04,0.479,
2008-05,0.411,
2008-06,0.300,
2008-07,0.330,
2008-08,0.281,
2008-09,0.280,
2008-10,0.287,
2008-11,0.162,
2008-12,0.306,
2009-01,0.339,
2009-02,0.545,
2009-03,0.464,
2009-04,0.515,
2009-05,0.454,
2009-06,0.556,
2009-07,0.378,
2009-08,0.320,
2009-09,0.337,
2009-10,0.349,
2009-11,0.272,
2009-12,0.397,
2010-01,0.440,
2010-02,0.422,
