"",BBK01.OELI02N,BBK01.OELI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:34,
2002-01,17.534,
2002-04,18.031,
2002-07,17.763,
2002-10,18.823,
2003-01,19.053,
2003-04,19.521,
2003-07,19.635,
2003-10,20.389,
2004-01,20.672,
2004-04,21.224,
2004-07,21.138,
2004-10,21.881,
2005-01,21.873,
2005-04,22.653,
2005-07,22.691,
2005-10,23.629,
2006-01,23.350,
2006-04,23.951,
2006-07,23.598,
2006-10,24.540,
2007-01,25.017,
2007-04,25.809,
2007-07,25.902,
2007-10,26.876,
2008-01,26.416,
2008-04,26.471,
2008-07,25.891,
2008-10,27.990,
2009-01,29.139,
2009-04,31.637,
2009-07,33.553,
2009-10,35.457,
2010-01,36.736,
2010-04,38.310,
2010-07,38.576,
2010-10,39.356,
2011-01,39.374,
2011-04,39.674,
2011-07,40.359,
2011-10,41.854,
2012-01,42.948,
2012-04,44.996,
2012-07,47.447,
2012-10,48.783,
2013-01,50.549,
2013-04,51.502,
2013-07,52.605,
2013-10,54.488,
2014-01,54.765,
2014-04,55.859,
2014-07,57.886,
