"",BBK01.OEXI03U,BBK01.OEXI03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:45,
2002-01,0.658,
2002-04,0.615,
2002-07,0.622,
2002-10,0.592,
2003-01,0.539,
2003-04,0.522,
2003-07,0.569,
2003-10,0.544,
2004-01,0.530,
2004-04,0.401,
2004-07,0.419,
2004-10,0.342,
2005-01,0.311,
2005-04,0.329,
2005-07,0.368,
2005-10,0.335,
2006-01,0.387,
2006-04,0.397,
2006-07,0.512,
2006-10,0.674,
2007-01,0.761,
2007-04,0.821,
2007-07,0.896,
2007-10,0.915,
2008-01,0.938,
2008-04,1.023,
2008-07,1.048,
2008-10,0.855,
2009-01,0.341,
2009-04,0.259,
2009-07,0.229,
2009-10,0.162,
2010-01,0.186,
2010-04,0.203,
2010-07,0.180,
2010-10,0.185,
2011-01,0.244,
2011-04,0.298,
2011-07,0.345,
2011-10,0.761,
2012-01,0.918,
2012-04,1.037,
2012-07,1.105,
2012-10,1.112,
2013-01,1.092,
2013-04,1.082,
2013-07,1.063,
2013-10,0.949,
2014-01,1.185,
2014-04,1.226,
2014-07,0.991,
