"",BBK01.OEAI04R,BBK01.OEAI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:27,
2002-01,1.768,
2002-04,1.687,
2002-07,1.663,
2002-10,1.669,
2003-01,1.449,
2003-04,1.401,
2003-07,1.374,
2003-10,1.361,
2004-01,1.333,
2004-04,1.258,
2004-07,1.222,
2004-10,1.253,
2005-01,1.226,
2005-04,1.111,
2005-07,1.220,
2005-10,1.136,
2006-01,1.166,
2006-04,1.261,
2006-07,1.288,
2006-10,1.291,
2007-01,1.403,
2007-04,1.563,
2007-07,1.651,
2007-10,1.751,
2008-01,2.020,
2008-04,2.068,
2008-07,2.212,
2008-10,2.151,
2009-01,1.593,
2009-04,1.371,
2009-07,1.156,
2009-10,1.013,
2010-01,0.948,
2010-04,0.859,
2010-07,0.849,
2010-10,0.848,
2011-01,0.959,
2011-04,0.957,
2011-07,0.977,
2011-10,1.598,
2012-01,1.742,
2012-04,1.799,
2012-07,1.886,
2012-10,1.863,
2013-01,1.782,
2013-04,1.840,
2013-07,1.816,
2013-10,1.606,
2014-01,1.691,
2014-04,1.635,
2014-07,1.366,
