"",BBK01.OEAD17V,BBK01.OEAD17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:01,
2002-01,0.139,
2002-04,0.157,
2002-07,0.139,
2002-10,0.120,
2003-01,0.156,
2003-04,0.154,
2003-07,0.120,
2003-10,0.114,
2004-01,0.119,
2004-04,0.112,
2004-07,0.168,
2004-10,0.127,
2005-01,0.129,
2005-04,0.141,
2005-07,0.127,
2005-10,0.120,
2006-01,0.123,
2006-04,0.138,
2006-07,0.130,
2006-10,0.120,
2007-01,0.127,
2007-04,0.121,
2007-07,0.125,
2007-10,0.139,
2008-01,0.137,
2008-04,0.139,
2008-07,0.148,
2008-10,0.161,
2009-01,0.161,
2009-04,0.148,
2009-07,0.119,
2009-10,0.106,
2010-01,0.100,
2010-04,0.092,
2010-07,0.112,
2010-10,0.152,
2011-01,0.100,
2011-04,0.106,
2011-07,0.102,
2011-10,0.094,
2012-01,0.100,
2012-04,0.119,
2012-07,0.111,
2012-10,0.114,
2013-01,0.113,
2013-04,0.109,
2013-07,0.120,
2013-10,0.113,
2014-01,0.117,
2014-04,0.133,
2014-07,0.126,
