"",BBK01.OEGJ01I,BBK01.OEGJ01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:10,
2002-01,8.738,
2002-04,8.520,
2002-07,8.434,
2002-10,8.540,
2003-01,8.153,
2003-04,8.049,
2003-07,9.471,
2003-10,9.479,
2004-01,9.810,
2004-04,9.779,
2004-07,7.876,
2004-10,8.261,
2005-01,8.882,
2005-04,8.165,
2005-07,8.487,
2005-10,8.653,
2006-01,8.686,
2006-04,8.284,
2006-07,9.487,
2006-10,7.993,
2007-01,7.848,
2007-04,8.663,
2007-07,8.483,
2007-10,8.756,
2008-01,10.376,
2008-04,13.878,
2008-07,14.069,
2008-10,12.446,
2009-01,16.509,
2009-04,16.805,
2009-07,16.807,
2009-10,14.260,
2010-01,17.193,
2010-04,11.327,
2010-07,16.642,
2010-10,15.881,
2011-01,16.375,
2011-04,17.204,
2011-07,17.949,
2011-10,14.210,
2012-01,16.892,
2012-04,12.764,
2012-07,15.427,
2012-10,13.068,
2013-01,15.246,
2013-04,12.541,
2013-07,7.342,
2013-10,7.519,
2014-01,7.539,
2014-04,8.025,
2014-07,8.466,
