"",BBFB1.Q.N.DE.CA.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:33,
1991-01,35.416,
1991-04,-68.949,
1991-07,4.457,
1991-10,546.396,
1992-01,-44.341,
1992-04,173.445,
1992-07,99.845,
1992-10,-90.210,
1993-01,-158.804,
1993-04,-26.636,
1993-07,172.109,
1993-10,117.812,
1994-01,76.753,
1994-04,186.715,
1994-07,77.110,
1994-10,42.695,
1995-01,174.445,
1995-04,321.811,
1995-07,-198.318,
1995-10,309.924,
1996-01,-322.200,
1996-04,-238.983,
1996-07,2860.654,
1996-10,-375.166,
1997-01,1311.607,
1997-04,15.909,
1997-07,2768.786,
1997-10,19.912,
1998-01,884.116,
1998-04,3619.638,
1998-07,518.933,
1998-10,-2431.914,
1999-01,-141.758,
1999-04,948.672,
1999-07,1038.216,
1999-10,1608.220,
2000-01,475.544,
2000-04,-615.204,
2000-07,3121.701,
2000-10,-1737.978,
2001-01,-1266.193,
2001-04,1196.939,
2001-07,-3483.753,
2001-10,-8978.451,
2002-01,144.295,
2002-04,-989.373,
2002-07,134.630,
2002-10,619.503,
2003-01,-651.138,
2003-04,704.225,
2003-07,811.785,
2003-10,708.334,
2004-01,-486.772,
2004-04,252.805,
2004-07,-701.613,
2004-10,547.808,
2005-01,1151.846,
2005-04,-529.905,
2005-07,18.712,
2005-10,-340.606,
2006-01,-717.681,
2006-04,-203.654,
2006-07,-417.021,
2006-10,1735.173,
2007-01,1434.467,
2007-04,849.195,
2007-07,-77.900,
2007-10,86.527,
2008-01,-1126.530,
2008-04,-187.720,
2008-07,946.870,
2008-10,-448.851,
2009-01,-219.093,
2009-04,130.484,
2009-07,1085.789,
2009-10,-260.463,
2010-01,1323.628,
2010-04,1097.936,
2010-07,24.617,
2010-10,253.059,
2011-01,-503.492,
2011-04,137.547,
2011-07,66.513,
2011-10,-56.480,
2012-01,247.106,
2012-04,-355.816,
2012-07,125.074,
2012-10,-155.625,
2013-01,483.371,
2013-04,-1432.603,
2013-07,114.596,
2013-10,-522.467,
2014-01,-11.536,Provisional value
2014-04,464.668,Provisional value
2014-07,1588.849,Provisional value
2014-10,-751.402,Provisional value
