"",BBDE1.M.DE.W.GUA1.P2XG75064.A.V.I10.A,BBDE1.M.DE.W.GUA1.P2XG75064.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.52+47.53+47.54+47.59-47.59.3 Retail trade of furniture, furnishings, domestic appliances and building materials / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:01,
1994-01,98.7,
1994-02,101.2,
1994-03,119.8,
1994-04,111.0,
1994-05,111.7,
1994-06,109.4,
1994-07,109.5,
1994-08,107.1,
1994-09,114.7,
1994-10,123.7,
1994-11,128.9,
1994-12,148.1,
1995-01,95.9,
1995-02,104.7,
1995-03,118.6,
1995-04,112.6,
1995-05,115.0,
1995-06,109.5,
1995-07,109.4,
1995-08,104.5,
1995-09,108.7,
1995-10,120.0,
1995-11,123.0,
1995-12,132.6,
1996-01,94.2,
1996-02,95.7,
1996-03,115.3,
1996-04,111.9,
1996-05,112.9,
1996-06,107.2,
1996-07,111.5,
1996-08,103.3,
1996-09,109.2,
1996-10,117.2,
1996-11,121.7,
1996-12,129.9,
1997-01,94.1,
1997-02,98.2,
1997-03,114.0,
1997-04,113.0,
1997-05,109.3,
1997-06,107.7,
1997-07,109.5,
1997-08,100.1,
1997-09,106.7,
1997-10,116.0,
1997-11,119.7,
1997-12,128.4,
1998-01,96.8,
1998-02,100.5,
1998-03,130.0,
1998-04,109.9,
1998-05,110.8,
1998-06,106.9,
1998-07,110.5,
1998-08,104.4,
1998-09,108.4,
1998-10,116.7,
1998-11,123.2,
1998-12,130.8,
1999-01,95.4,
1999-02,95.7,
1999-03,117.0,
1999-04,110.5,
1999-05,111.4,
1999-06,105.6,
1999-07,107.1,
1999-08,104.3,
1999-09,105.9,
1999-10,115.5,
1999-11,118.4,
1999-12,129.8,
2000-01,95.9,
2000-02,102.6,
2000-03,116.7,
2000-04,117.3,
2000-05,112.9,
2000-06,106.4,
2000-07,109.3,
2000-08,103.4,
2000-09,106.6,
2000-10,117.8,
2000-11,119.8,
2000-12,126.0,
2001-01,96.1,
2001-02,96.2,
2001-03,113.5,
2001-04,114.2,
2001-05,111.0,
2001-06,104.2,
2001-07,105.5,
2001-08,101.4,
2001-09,103.6,
2001-10,112.9,
2001-11,116.4,
2001-12,117.5,
2002-01,88.5,
2002-02,89.0,
2002-03,106.6,
2002-04,104.9,
2002-05,103.0,
2002-06,93.7,
2002-07,99.6,
2002-08,94.8,
2002-09,99.9,
2002-10,106.0,
2002-11,107.1,
2002-12,109.4,
2003-01,86.7,
2003-02,86.5,
2003-03,109.0,
2003-04,105.5,
2003-05,99.6,
2003-06,94.8,
2003-07,96.1,
2003-08,93.9,
2003-09,97.1,
2003-10,105.0,
2003-11,107.3,
2003-12,109.7,
2004-01,88.8,
2004-02,90.2,
2004-03,110.9,
2004-04,108.4,
2004-05,103.6,
2004-06,98.7,
2004-07,99.0,
2004-08,96.5,
2004-09,99.3,
2004-10,108.2,
2004-11,109.0,
2004-12,113.6,
2005-01,91.1,
2005-02,87.1,
2005-03,106.5,
2005-04,104.1,
2005-05,100.9,
2005-06,96.6,
2005-07,98.7,
2005-08,96.8,
2005-09,97.9,
2005-10,108.0,
2005-11,106.9,
2005-12,111.8,
2006-01,89.3,
2006-02,87.3,
2006-03,106.4,
2006-04,107.3,
2006-05,105.0,
2006-06,98.1,
2006-07,97.2,
2006-08,100.1,
2006-09,101.9,
2006-10,113.2,
2006-11,115.7,
2006-12,126.8,
2007-01,85.1,
2007-02,86.9,
2007-03,108.9,
2007-04,104.8,
2007-05,98.5,
2007-06,96.0,
2007-07,97.2,
2007-08,96.4,
2007-09,98.9,
2007-10,105.6,
2007-11,105.5,
2007-12,105.8,
2008-01,88.2,
2008-02,89.2,
2008-03,108.2,
2008-04,103.2,
2008-05,102.4,
2008-06,96.4,
2008-07,98.4,
2008-08,97.0,
2008-09,99.5,
2008-10,105.6,
2008-11,107.3,
2008-12,107.9,
2009-01,83.5,
2009-02,82.1,
2009-03,102.7,
2009-04,105.3,
2009-05,99.5,
2009-06,94.4,
2009-07,97.2,
2009-08,94.2,
2009-09,97.9,
2009-10,103.5,
2009-11,105.3,
2009-12,105.5,
2010-01,80.6,
2010-02,83.4,
2010-03,106.9,
2010-04,104.2,
2010-05,105.2,
2010-06,99.7,
2010-07,99.9,
2010-08,99.5,
2010-09,99.0,
2010-10,108.3,
2010-11,107.7,
2010-12,105.8,
2011-01,88.5,
2011-02,89.4,
2011-03,108.6,
2011-04,110.1,
2011-05,103.6,
2011-06,100.1,
2011-07,103.0,
2011-08,100.6,
2011-09,102.8,
2011-10,112.5,
2011-11,111.6,
2011-12,113.4,
2012-01,89.4,
2012-02,88.3,
2012-03,115.2,
2012-04,109.8,
2012-05,106.8,
2012-06,101.7,
2012-07,104.9,
2012-08,104.1,
2012-09,103.6,
2012-10,112.0,
2012-11,111.9,
2012-12,106.6,
2013-01,89.0,
2013-02,88.1,
2013-03,107.9,
2013-04,108.1,
2013-05,107.8,
2013-06,101.1,
2013-07,103.1,
2013-08,98.0,
2013-09,101.8,
2013-10,108.8,
2013-11,110.2,
2013-12,103.4,
2014-01,87.9,Provisional value
2014-02,90.3,Provisional value
2014-03,111.5,Provisional value
2014-04,108.4,Provisional value
2014-05,103.9,Provisional value
2014-06,99.6,Provisional value
2014-07,100.2,Provisional value
2014-08,99.8,Provisional value
2014-09,99.7,Provisional value
2014-10,109.0,Provisional value
2014-11,111.5,Provisional value
2014-12,108.2,Provisional value
