"",BBK01.XU8883,BBK01.XU8883_FLAGS
"","Germany / Imports / Product Classification for Production Statistics from 2002 30-33 combined (office machinery, computers etc) / 1 /",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:53,
1995-01,3975080,
1995-02,4123116,
1995-03,4974998,
1995-04,4182510,
1995-05,4447289,
1995-06,4633228,
1995-07,4152160,
1995-08,4346321,
1995-09,4828399,
1995-10,5343443,
1995-11,5416009,
1995-12,5531709,
1996-01,5071801,
1996-02,4628743,
1996-03,5099948,
1996-04,4730377,
1996-05,4373474,
1996-06,4604562,
1996-07,4683222,
1996-08,4239260,
1996-09,4800506,
1996-10,5380250,
1996-11,5450594,
1996-12,5028943,
1997-01,5181577,
1997-02,4988711,
1997-03,5080728,
1997-04,5309088,
1997-05,4821556,
1997-06,5224206,
1997-07,5518679,
1997-08,4682704,
1997-09,5726452,
1997-10,6737407,
1997-11,5877674,
1997-12,5887943,
1998-01,6327237,
1998-02,6073246,
1998-03,6538388,
1998-04,6575885,
1998-05,5350606,
1998-06,6046967,
1998-07,5969007,
1998-08,5615837,
1998-09,6466614,
1998-10,6805650,
1998-11,6383387,
1998-12,7556997,
1999-01,5903666,
1999-02,6040485,
1999-03,6987263,
1999-04,6355294,
1999-05,6673962,
1999-06,6860012,
1999-07,6571402,
1999-08,6471649,
1999-09,7126270,
1999-10,8023921,
1999-11,8340372,
1999-12,8109793,
2000-01,7679820,
2000-02,7727223,
2000-03,9192694,
2000-04,7865605,
2000-05,9124458,
2000-06,8492489,
2000-07,8353906,
2000-08,8669238,
2000-09,9619647,
2000-10,10956805,
2000-11,11240193,
2000-12,9991499,
2001-01,10385584,
2001-02,9031751,
2001-03,9714082,
2001-04,9283529,
2001-05,9493478,
2001-06,8527514,
2001-07,8468199,
2001-08,8578848,
2001-09,8370918,
2001-10,9784476,
2001-11,10162493,
2001-12,8906035,
2002-01,8024101,
2002-02,7766131,
2002-03,8655254,
2002-04,8976693,
2002-05,7653229,
2002-06,8465521,
2002-07,8142944,
2002-08,7831021,
2002-09,8695109,
2002-10,9599703,
2002-11,9800581,
2002-12,8889435,
2003-01,9122363,
2003-02,8008919,
2003-03,8892638,
2003-04,8182968,
2003-05,7554386,
2003-06,7728239,
2003-07,7388829,
2003-08,7436615,
2003-09,8564136,
2003-10,9968835,
2003-11,9758021,
2003-12,9674832,
2004-01,8730494,
2004-02,8563668,
2004-03,9295266,
2004-04,9183525,
2004-05,8626771,
2004-06,8855185,
2004-07,8621077,
2004-08,8454565,
2004-09,9661351,
2004-10,9916398,
2004-11,11176962,
2004-12,9926268,
2005-01,9107599,
2005-02,7986619,
2005-03,9393052,
2005-04,9096640,
2005-05,8852172,
2005-06,9396674,
2005-07,9793446,
2005-08,9336821,
2005-09,10222486,
2005-10,10348390,
2005-11,11753991,
2005-12,12216752,
2006-01,11418664,
2006-02,10465874,
2006-03,11718347,
2006-04,10455432,
2006-05,10085531,
2006-06,10194788,
2006-07,10280508,
2006-08,10111461,
2006-09,11140826,
2006-10,11981675,
2006-11,12612916,
2006-12,12247411,
2007-01,11327481,
2007-02,11156925,
2007-03,11315559,
2007-04,10299303,
2007-05,10236464,
2007-06,10627878,
2007-07,10124977,
2007-08,10888475,
2007-09,11396251,
2007-10,12315942,
2007-11,12181951,
2007-12,10870860,
"","General: 1 Series consits of items 30-33 of the Product Classification for Production Statistics from 2002 (xu8849, xu8851, xu8853 and xu8855)",
