"",BBK01.OEAC15L,BBK01.OEAC15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:11,
2002-01,4.244,
2002-04,4.164,
2002-07,4.026,
2002-10,3.902,
2003-01,3.990,
2003-04,3.869,
2003-07,3.960,
2003-10,3.801,
2004-01,3.816,
2004-04,3.757,
2004-07,3.665,
2004-10,3.757,
2005-01,3.556,
2005-04,3.471,
2005-07,3.364,
2005-10,3.509,
2006-01,3.598,
2006-04,3.557,
2006-07,3.459,
2006-10,3.291,
2007-01,3.282,
2007-04,3.403,
2007-07,3.579,
2007-10,3.612,
2008-01,3.578,
2008-04,3.611,
2008-07,3.663,
2008-10,3.785,
2009-01,3.761,
2009-04,3.660,
2009-07,3.529,
2009-10,3.413,
2010-01,3.372,
2010-04,3.319,
2010-07,3.440,
2010-10,3.324,
2011-01,3.502,
2011-04,3.372,
2011-07,3.310,
2011-10,3.243,
2012-01,3.196,
2012-04,3.159,
2012-07,3.101,
2012-10,3.033,
2013-01,2.926,
2013-04,2.887,
2013-07,2.892,
2013-10,2.904,
2014-01,2.836,
2014-04,2.921,
2014-07,2.765,
