"",BBK01.OECK02Q,BBK01.OECK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:47,
2002-01,0.145,
2002-04,0.162,
2002-07,0.142,
2002-10,0.152,
2003-01,0.146,
2003-04,0.153,
2003-07,0.172,
2003-10,0.168,
2004-01,0.168,
2004-04,0.170,
2004-07,0.158,
2004-10,0.352,
2005-01,0.381,
2005-04,0.395,
2005-07,0.396,
2005-10,0.400,
2006-01,0.360,
2006-04,0.378,
2006-07,0.371,
2006-10,0.412,
2007-01,0.393,
2007-04,0.377,
2007-07,0.391,
2007-10,0.402,
2008-01,0.371,
2008-04,0.377,
2008-07,0.380,
2008-10,0.442,
2009-01,0.464,
2009-04,0.448,
2009-07,0.468,
2009-10,0.513,
2010-01,0.507,
2010-04,0.516,
2010-07,0.527,
2010-10,0.513,
2011-01,0.486,
2011-04,0.489,
2011-07,0.508,
2011-10,0.505,
2012-01,0.491,
2012-04,0.492,
2012-07,0.535,
2012-10,0.551,
2013-01,0.539,
2013-04,0.536,
2013-07,0.555,
2013-10,0.603,
2014-01,0.600,
2014-04,0.588,
2014-07,0.614,
