"",BBK01.OEAA02U,BBK01.OEAA02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:40,
2002-01,2.734,
2002-04,2.693,
2002-07,2.705,
2002-10,2.699,
2003-01,2.693,
2003-04,2.679,
2003-07,2.618,
2003-10,2.537,
2004-01,2.519,
2004-04,2.355,
2004-07,2.379,
2004-10,2.254,
2005-01,2.316,
2005-04,2.270,
2005-07,2.267,
2005-10,2.136,
2006-01,2.146,
2006-04,2.101,
2006-07,2.051,
2006-10,2.036,
2007-01,2.030,
2007-04,2.160,
2007-07,2.059,
2007-10,1.976,
2008-01,2.094,
2008-04,2.118,
2008-07,2.010,
2008-10,1.988,
2009-01,1.978,
2009-04,1.989,
2009-07,1.921,
2009-10,1.750,
2010-01,1.773,
2010-04,1.820,
2010-07,1.688,
2010-10,1.531,
2011-01,1.642,
2011-04,1.669,
2011-07,1.609,
2011-10,1.528,
2012-01,1.611,
2012-04,1.627,
2012-07,1.594,
2012-10,1.518,
2013-01,1.652,
2013-04,1.621,
2013-07,1.648,
2013-10,1.486,
2014-01,1.611,
2014-04,1.655,
2014-07,1.605,
