"",BBK01.OEXI08R,BBK01.OEXI08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:17,
2002-01,0.344,
2002-04,0.333,
2002-07,0.317,
2002-10,0.339,
2003-01,0.364,
2003-04,0.370,
2003-07,0.379,
2003-10,0.380,
2004-01,0.372,
2004-04,0.366,
2004-07,0.361,
2004-10,0.253,
2005-01,0.258,
2005-04,0.262,
2005-07,0.274,
2005-10,0.289,
2006-01,0.290,
2006-04,0.276,
2006-07,0.266,
2006-10,0.267,
2007-01,0.271,
2007-04,0.272,
2007-07,0.276,
2007-10,0.288,
2008-01,0.303,
2008-04,0.301,
2008-07,0.304,
2008-10,0.295,
2009-01,0.300,
2009-04,0.296,
2009-07,0.315,
2009-10,0.340,
2010-01,0.361,
2010-04,0.358,
2010-07,0.355,
2010-10,0.353,
2011-01,0.354,
2011-04,0.345,
2011-07,0.327,
2011-10,0.336,
2012-01,0.339,
2012-04,0.340,
2012-07,0.345,
2012-10,0.365,
2013-01,0.371,
2013-04,0.369,
2013-07,0.377,
2013-10,0.385,
2014-01,0.384,
2014-04,0.379,
2014-07,0.371,
