"",BBK01.OEHB11O,BBK01.OEHB11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:21,
2002-01,0.543,
2002-04,0.553,
2002-07,0.561,
2002-10,0.561,
2003-01,0.560,
2003-04,0.548,
2003-07,0.594,
2003-10,0.611,
2004-01,0.613,
2004-04,0.603,
2004-07,0.642,
2004-10,0.630,
2005-01,0.631,
2005-04,0.626,
2005-07,0.654,
2005-10,0.650,
2006-01,0.626,
2006-04,0.627,
2006-07,0.595,
2006-10,0.592,
2007-01,0.602,
2007-04,0.605,
2007-07,0.618,
2007-10,0.634,
2008-01,0.661,
2008-04,0.676,
2008-07,0.705,
2008-10,0.713,
2009-01,0.703,
2009-04,0.737,
2009-07,0.782,
2009-10,0.825,
2010-01,0.834,
2010-04,0.862,
2010-07,0.859,
2010-10,0.878,
2011-01,0.876,
2011-04,0.898,
2011-07,0.914,
2011-10,0.939,
2012-01,1.010,
2012-04,1.015,
2012-07,1.016,
2012-10,1.057,
2013-01,1.043,
2013-04,1.056,
2013-07,1.078,
2013-10,1.083,
2014-01,1.046,
2014-04,1.004,
2014-07,0.989,
