"",BBK01.OEHJ03L,BBK01.OEHJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:26,
2002-01,1.900,
2002-04,1.988,
2002-07,1.929,
2002-10,1.787,
2003-01,1.720,
2003-04,1.656,
2003-07,1.649,
2003-10,1.581,
2004-01,1.504,
2004-04,1.428,
2004-07,1.470,
2004-10,1.513,
2005-01,1.397,
2005-04,1.361,
2005-07,1.298,
2005-10,1.400,
2006-01,1.381,
2006-04,1.492,
2006-07,1.496,
2006-10,1.617,
2007-01,1.732,
2007-04,1.718,
2007-07,1.907,
2007-10,1.846,
2008-01,1.931,
2008-04,2.043,
2008-07,2.200,
2008-10,2.371,
2009-01,2.069,
2009-04,1.815,
2009-07,1.559,
2009-10,1.458,
2010-01,1.346,
2010-04,1.331,
2010-07,1.356,
2010-10,1.356,
2011-01,1.414,
2011-04,1.439,
2011-07,1.613,
2011-10,1.774,
2012-01,1.715,
2012-04,1.551,
2012-07,1.529,
2012-10,1.303,
2013-01,1.187,
2013-04,1.217,
2013-07,1.249,
2013-10,1.370,
2014-01,1.321,
2014-04,1.360,
2014-07,1.226,
