"",BBK01.CEL50M,BBK01.CEL50M_FLAGS
"",Equity and investment fund shares debtor: Total            creditor: Non-Profit Institutions Serving Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:07,
1999-01,1.3,
1999-04,1.6,
1999-07,1.3,
1999-10,0.7,
2000-01,2.1,
2000-04,1.6,
2000-07,0.9,
2000-10,0.9,
2001-01,1.8,
2001-04,0.8,
2001-07,0.3,
2001-10,1.1,
2002-01,1.0,
2002-04,0.0,
2002-07,0.3,
2002-10,-0.6,
2003-01,0.9,
2003-04,0.5,
2003-07,0.1,
2003-10,-0.2,
2004-01,0.3,
2004-04,0.1,
2004-07,-0.1,
2004-10,-0.9,
2005-01,0.5,
2005-04,0.4,
2005-07,0.5,
2005-10,-0.2,
2006-01,4.7,
2006-04,-0.5,
2006-07,1.2,
2006-10,0.4,
2007-01,-0.8,
2007-04,2.3,
2007-07,-3.0,
2007-10,-2.5,
2008-01,0.5,
2008-04,-1.3,
2008-07,-0.4,
2008-10,-1.5,
2009-01,0.7,
2009-04,-1.7,
2009-07,-1.4,
2009-10,-0.6,
2010-01,0.0,
2010-04,2.3,
2010-07,0.6,
2010-10,0.4,
2011-01,0.1,
2011-04,-0.2,
2011-07,-0.6,
2011-10,-1.4,
2012-01,1.9,
2012-04,0.7,
2012-07,-0.1,
2012-10,0.8,
2013-01,-1.8,
2013-04,1.3,
2013-07,0.6,
2013-10,1.2,
2014-01,0.8,
2014-04,-0.3,
2014-07,1.2,
