"",BBK01.OELL02K,BBK01.OELL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:46,
2002-01,0.748,
2002-04,0.772,
2002-07,0.749,
2002-10,0.760,
2003-01,0.898,
2003-04,0.966,
2003-07,1.031,
2003-10,1.095,
2004-01,1.160,
2004-04,1.212,
2004-07,1.259,
2004-10,1.372,
2005-01,1.415,
2005-04,1.456,
2005-07,1.465,
2005-10,1.550,
2006-01,1.557,
2006-04,1.566,
2006-07,1.554,
2006-10,1.510,
2007-01,1.509,
2007-04,1.557,
2007-07,1.518,
2007-10,1.225,
2008-01,1.206,
2008-04,1.222,
2008-07,1.196,
2008-10,1.197,
2009-01,1.332,
2009-04,1.514,
2009-07,1.589,
2009-10,1.692,
2010-01,1.756,
2010-04,1.864,
2010-07,1.929,
2010-10,2.009,
2011-01,2.047,
2011-04,2.107,
2011-07,2.094,
2011-10,2.159,
2012-01,2.118,
2012-04,2.158,
2012-07,2.215,
2012-10,2.316,
2013-01,2.365,
2013-04,2.453,
2013-07,2.489,
2013-10,2.607,
2014-01,2.713,
2014-04,2.808,
2014-07,2.851,
