"",BBK01.OEAC22Q,BBK01.OEAC22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:04,
2002-01,0.287,
2002-04,0.287,
2002-07,0.250,
2002-10,0.306,
2003-01,0.351,
2003-04,0.422,
2003-07,0.620,
2003-10,0.637,
2004-01,0.489,
2004-04,0.437,
2004-07,0.256,
2004-10,0.163,
2005-01,0.185,
2005-04,0.292,
2005-07,0.180,
2005-10,0.199,
2006-01,0.171,
2006-04,0.163,
2006-07,0.139,
2006-10,0.170,
2007-01,0.136,
2007-04,0.127,
2007-07,0.226,
2007-10,0.276,
2008-01,0.247,
2008-04,0.261,
2008-07,0.278,
2008-10,0.279,
2009-01,0.275,
2009-04,0.217,
2009-07,0.203,
2009-10,0.194,
2010-01,0.312,
2010-04,0.316,
2010-07,0.338,
2010-10,0.366,
2011-01,0.314,
2011-04,0.331,
2011-07,0.166,
2011-10,0.195,
2012-01,0.176,
2012-04,0.189,
2012-07,0.171,
2012-10,0.408,
2013-01,0.386,
2013-04,0.436,
2013-07,0.481,
2013-10,0.803,
2014-01,0.811,
2014-04,0.972,
2014-07,1.134,
