"",BBK01.OECJ01H,BBK01.OECJ01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:10,
2002-01,45.392,
2002-04,49.049,
2002-07,47.835,
2002-10,49.695,
2003-01,47.994,
2003-04,50.355,
2003-07,48.086,
2003-10,48.058,
2004-01,50.786,
2004-04,48.526,
2004-07,47.636,
2004-10,46.396,
2005-01,49.769,
2005-04,48.865,
2005-07,49.637,
2005-10,49.399,
2006-01,50.656,
2006-04,50.101,
2006-07,52.225,
2006-10,50.542,
2007-01,54.360,
2007-04,56.613,
2007-07,56.901,
2007-10,59.862,
2008-01,63.933,
2008-04,63.474,
2008-07,67.636,
2008-10,76.812,
2009-01,85.096,
2009-04,82.289,
2009-07,68.833,
2009-10,70.296,
2010-01,66.610,
2010-04,65.907,
2010-07,64.820,
2010-10,66.608,
2011-01,66.601,
2011-04,65.203,
2011-07,75.941,
2011-10,77.611,
2012-01,72.762,
2012-04,69.510,
2012-07,77.578,
2012-10,70.585,
2013-01,71.204,
2013-04,77.710,
2013-07,56.738,
2013-10,55.413,
2014-01,52.751,
2014-04,52.134,
2014-07,51.949,
