"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.PL.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.PL.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Poland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:39,
2009-09,1351,
2009-10,1400,
2009-11,1414,
2009-12,1402,
2010-01,1649,
2010-02,1726,
2010-03,1835,
2010-04,1855,
2010-05,1937,
2010-06,1928,
2010-07,2047,
2010-08,2132,
2010-09,2314,
2010-10,2461,
2010-11,2349,
2010-12,2437,
2011-01,2435,
2011-02,2498,
2011-03,2491,
2011-04,2657,
2011-05,2655,
2011-06,2801,
2011-07,2823,
2011-08,2852,
2011-09,2805,
2011-10,2994,
2011-11,2900,
2011-12,3013,
2012-01,3167,
2012-02,3338,
2012-03,3410,
2012-04,3469,
2012-05,3460,
2012-06,3771,
2012-07,3933,
2012-08,3928,
2012-09,4071,
2012-10,4302,
2012-11,4480,
2012-12,4561,
2013-01,4393,
2013-02,4388,
2013-03,4431,
2013-04,4497,
2013-05,4541,
2013-06,4462,
2013-07,4615,
2013-08,4523,
2013-09,4517,
2013-10,4617,
2013-11,4582,
2013-12,4624,
2014-01,4683,
2014-02,4840,
2014-03,4846,
2014-04,4780,
2014-05,4746,
2014-06,4690,
2014-07,4667,
2014-08,4667,
2014-09,4729,
2014-10,4851,
2014-11,4905,
