"",BBK01.OEAF22V,BBK01.OEAF22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:37,
2002-01,2.003,
2002-04,1.959,
2002-07,1.994,
2002-10,2.147,
2003-01,2.138,
2003-04,1.116,
2003-07,1.132,
2003-10,1.134,
2004-01,0.996,
2004-04,1.030,
2004-07,1.045,
2004-10,1.040,
2005-01,1.248,
2005-04,1.239,
2005-07,1.345,
2005-10,1.317,
2006-01,1.307,
2006-04,1.328,
2006-07,1.337,
2006-10,1.377,
2007-01,1.399,
2007-04,1.435,
2007-07,1.465,
2007-10,1.243,
2008-01,1.238,
2008-04,1.252,
2008-07,1.242,
2008-10,1.433,
2009-01,1.463,
2009-04,1.479,
2009-07,1.487,
2009-10,1.510,
2010-01,1.115,
2010-04,1.447,
2010-07,1.429,
2010-10,1.385,
2011-01,1.347,
2011-04,1.328,
2011-07,1.341,
2011-10,1.265,
2012-01,1.242,
2012-04,1.236,
2012-07,1.349,
2012-10,1.324,
2013-01,1.313,
2013-04,1.325,
2013-07,1.342,
2013-10,1.330,
2014-01,1.319,
2014-04,1.136,
2014-07,1.142,
