"",BBK01.CEH41Q,BBK01.CEH41Q_FLAGS
"",Loans  (consolidated) debtor: Non-financial corporations                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:30,
1991-01,28.0,
1991-04,23.9,
1991-07,26.2,
1991-10,20.9,
1992-01,8.3,
1992-04,24.1,
1992-07,10.8,
1992-10,14.3,
1993-01,12.6,
1993-04,10.3,
1993-07,13.8,
1993-10,9.8,
1994-01,-0.3,
1994-04,9.3,
1994-07,6.3,
1994-10,4.3,
1995-01,9.1,
1995-04,13.4,
1995-07,13.5,
1995-10,-3.3,
1996-01,11.8,
1996-04,19.5,
1996-07,8.5,
1996-10,12.4,
1997-01,6.3,
1997-04,8.5,
1997-07,5.9,
1997-10,22.0,
1998-01,11.6,
1998-04,8.2,
1998-07,17.7,
1998-10,34.4,
1999-01,-0.3,
1999-04,20.5,
1999-07,18.3,
1999-10,44.7,
2000-01,-12.6,
2000-04,26.5,
2000-07,34.2,
2000-10,28.1,
2001-01,2.6,
2001-04,18.1,
2001-07,8.2,
2001-10,19.6,
2002-01,-12.3,
2002-04,9.5,
2002-07,-0.4,
2002-10,-5.4,
2003-01,-12.7,
2003-04,1.8,
2003-07,-18.5,
2003-10,-0.1,
2004-01,-16.3,
2004-04,-4.1,
2004-07,-23.0,
2004-10,3.7,
2005-01,0.1,
2005-04,-3.5,
2005-07,-5.6,
2005-10,0.7,
2006-01,-1.1,
2006-04,16.9,
2006-07,12.9,
2006-10,-9.2,
2007-01,25.7,
2007-04,11.9,
2007-07,9.5,
2007-10,7.5,
2008-01,-9.1,
2008-04,22.7,
2008-07,10.4,
2008-10,3.3,
2009-01,14.0,
2009-04,-3.6,
2009-07,-13.6,
2009-10,-9.6,
2010-01,9.0,
2010-04,-5.1,
2010-07,0.2,
2010-10,-19.0,
2011-01,-14.4,
2011-04,12.7,
2011-07,13.9,
2011-10,14.8,
2012-01,-6.3,
2012-04,7.9,
2012-07,20.9,
2012-10,-26.8,
2013-01,20.5,
2013-04,20.6,
2013-07,-18.2,
2013-10,1.9,
2014-01,8.6,
