"",BBK01.OEHK06L,BBK01.OEHK06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:57,
2002-01,0.238,
2002-04,0.245,
2002-07,0.243,
2002-10,0.224,
2003-01,0.232,
2003-04,0.223,
2003-07,0.216,
2003-10,0.226,
2004-01,0.223,
2004-04,0.220,
2004-07,0.204,
2004-10,0.198,
2005-01,0.186,
2005-04,0.178,
2005-07,0.174,
2005-10,0.178,
2006-01,0.181,
2006-04,0.191,
2006-07,0.209,
2006-10,0.225,
2007-01,0.252,
2007-04,0.292,
2007-07,0.327,
2007-10,0.387,
2008-01,0.405,
2008-04,0.433,
2008-07,0.453,
2008-10,0.489,
2009-01,0.403,
2009-04,0.327,
2009-07,0.279,
2009-10,0.240,
2010-01,0.228,
2010-04,0.231,
2010-07,0.235,
2010-10,0.242,
2011-01,0.251,
2011-04,0.265,
2011-07,0.283,
2011-10,0.302,
2012-01,0.293,
2012-04,0.277,
2012-07,0.236,
2012-10,0.218,
2013-01,0.187,
2013-04,0.168,
2013-07,0.153,
2013-10,0.148,
2014-01,0.138,
2014-04,0.134,
2014-07,0.125,
