"",BBK01.CELP0I,BBK01.CELP0I_FLAGS
"",Time deposits                                                    debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:18,
1999-01,2.2,
1999-04,-9.0,
1999-07,-5.1,
1999-10,6.4,
2000-01,-4.0,
2000-04,-0.4,
2000-07,-4.2,
2000-10,17.5,
2001-01,8.3,
2001-04,2.5,
2001-07,3.1,
2001-10,3.6,
2002-01,-3.4,
2002-04,-4.2,
2002-07,-1.7,
2002-10,4.1,
2003-01,-4.0,
2003-04,-5.9,
2003-07,-4.5,
2003-10,-3.2,
2004-01,-3.1,
2004-04,-4.9,
2004-07,-3.2,
2004-10,5.3,
2005-01,-3.2,
2005-04,-3.3,
2005-07,-0.4,
2005-10,6.3,
2006-01,5.0,
2006-04,2.3,
2006-07,11.3,
2006-10,13.2,
2007-01,8.2,
2007-04,7.7,
2007-07,16.7,
2007-10,24.4,
2008-01,15.6,
2008-04,15.7,
2008-07,19.6,
2008-10,26.3,
2009-01,-49.7,
2009-04,-23.6,
2009-07,-29.7,
2009-10,-21.0,
2010-01,-13.0,
2010-04,-4.4,
2010-07,-4.1,
2010-10,6.4,
2011-01,-1.2,
2011-04,5.7,
2011-07,6.8,
2011-10,7.2,
2012-01,4.0,
2012-04,-0.3,
2012-07,-4.5,
2012-10,-5.3,
2013-01,-4.4,
2013-04,-2.8,
2013-07,-5.2,
2013-10,2.0,
2014-01,2.1,
2014-04,2.1,
2014-07,0.7,
