"",BBDE1.M.DE.Y.AEB5.N2C300000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.N2C300000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:27,
1991-01,20.2,
1991-02,56.2,
1991-03,48.2,
1991-04,14.8,
1991-05,32.0,
1991-06,32.2,
1991-07,61.7,
1991-08,28.7,
1991-09,30.3,
1991-10,20.0,
1991-11,15.7,
1991-12,63.0,
1992-01,17.0,
1992-02,18.9,
1992-03,25.4,
1992-04,29.6,
1992-05,11.8,
1992-06,20.5,
1992-07,12.6,
1992-08,20.9,
1992-09,18.2,
1992-10,13.3,
1992-11,40.9,
1992-12,45.7,
1993-01,18.6,
1993-02,16.4,
1993-03,14.7,
1993-04,16.7,
1993-05,52.8,
1993-06,31.3,
1993-07,14.6,
1993-08,23.0,
1993-09,19.6,
1993-10,32.3,
1993-11,26.6,
1993-12,63.4,
1994-01,22.0,
1994-02,17.0,
1994-03,30.7,
1994-04,38.1,
1994-05,15.5,
1994-06,16.6,
1994-07,28.1,
1994-08,17.2,
1994-09,30.8,
1994-10,9.5,
1994-11,41.0,
1994-12,33.9,
1995-01,15.1,
1995-02,17.3,
1995-03,39.4,
1995-04,18.0,
1995-05,19.2,
1995-06,30.1,
1995-07,26.0,
1995-08,30.8,
1995-09,20.0,
1995-10,16.4,
1995-11,39.8,
1995-12,53.0,
1996-01,16.1,
1996-02,29.6,
1996-03,49.9,
1996-04,29.9,
1996-05,25.3,
1996-06,17.0,
1996-07,47.1,
1996-08,27.2,
1996-09,25.8,
1996-10,18.8,
1996-11,18.1,
1996-12,21.9,
1997-01,20.7,
1997-02,28.6,
1997-03,31.4,
1997-04,55.3,
1997-05,31.0,
1997-06,21.9,
1997-07,27.1,
1997-08,57.7,
1997-09,45.8,
1997-10,50.0,
1997-11,20.3,
1997-12,72.7,
1998-01,24.6,
1998-02,46.3,
1998-03,84.1,
1998-04,55.7,
1998-05,69.7,
1998-06,42.6,
1998-07,37.0,
1998-08,30.6,
1998-09,55.2,
1998-10,62.8,
1998-11,24.6,
1998-12,43.9,
1999-01,26.8,
1999-02,46.6,
1999-03,34.0,
1999-04,44.2,
1999-05,15.3,
1999-06,50.4,
1999-07,27.2,
1999-08,56.5,
1999-09,63.0,
1999-10,24.5,
1999-11,47.1,
1999-12,59.2,
2000-01,26.8,
2000-02,38.9,
2000-03,88.6,
2000-04,58.5,
2000-05,39.9,
2000-06,51.4,
2000-07,58.5,
2000-08,32.7,
2000-09,33.3,
2000-10,56.7,
2000-11,77.7,
2000-12,121.7,
2001-01,62.2,
2001-02,67.4,
2001-03,39.7,
2001-04,38.2,
2001-05,43.9,
2001-06,89.8,
2001-07,43.5,
2001-08,30.1,
2001-09,27.3,
2001-10,21.2,
2001-11,42.5,
2001-12,42.7,
2002-01,35.3,
2002-02,36.2,
2002-03,57.7,
2002-04,36.3,
2002-05,105.0,
2002-06,64.3,
2002-07,57.1,
2002-08,40.0,
2002-09,33.5,
2002-10,52.1,
2002-11,42.3,
2002-12,39.3,
2003-01,46.5,
2003-02,34.6,
2003-03,46.4,
2003-04,57.2,
2003-05,28.8,
2003-06,83.1,
2003-07,35.6,
2003-08,53.7,
2003-09,58.7,
2003-10,42.7,
2003-11,38.9,
2003-12,47.3,
2004-01,53.8,
2004-02,27.9,
2004-03,26.7,
2004-04,37.0,
2004-05,39.7,
2004-06,44.3,
2004-07,42.1,
2004-08,39.9,
2004-09,84.0,
2004-10,74.0,
2004-11,42.9,
2004-12,89.6,
2005-01,59.5,
2005-02,58.8,
2005-03,74.6,
2005-04,54.1,
2005-05,72.0,
2005-06,42.7,
2005-07,104.0,
2005-08,52.4,
2005-09,95.9,
2005-10,68.1,
2005-11,84.4,
2005-12,110.7,
2006-01,60.7,
2006-02,96.8,
2006-03,60.3,
2006-04,70.2,
2006-05,54.7,
2006-06,44.0,
2006-07,114.4,
2006-08,143.3,
2006-09,53.5,
2006-10,45.6,
2006-11,56.0,
2006-12,90.8,
2007-01,47.6,
2007-02,75.3,
2007-03,60.0,
2007-04,112.2,
2007-05,100.7,
2007-06,163.2,
2007-07,48.9,
2007-08,87.5,
2007-09,100.5,
2007-10,119.1,
2007-11,175.9,
2007-12,101.5,
2008-01,134.2,
2008-02,146.7,
2008-03,109.6,
2008-04,101.3,
2008-05,164.2,
2008-06,58.5,
2008-07,147.9,
2008-08,94.7,
2008-09,52.6,
2008-10,67.4,
2008-11,85.0,
2008-12,99.4,
2009-01,58.6,
2009-02,73.8,
2009-03,77.6,
2009-04,64.9,
2009-05,63.9,
2009-06,61.7,
