"",BBK01.OECL07R,BBK01.OECL07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:02,
2002-01,0.226,
2002-04,0.170,
2002-07,0.170,
2002-10,0.186,
2003-01,0.183,
2003-04,0.175,
2003-07,0.182,
2003-10,0.180,
2004-01,0.170,
2004-04,0.164,
2004-07,0.189,
2004-10,0.314,
2005-01,0.879,
2005-04,0.873,
2005-07,0.867,
2005-10,0.867,
2006-01,0.861,
2006-04,0.845,
2006-07,0.831,
2006-10,0.822,
2007-01,0.820,
2007-04,0.805,
2007-07,0.792,
2007-10,0.803,
2008-01,0.792,
2008-04,0.807,
2008-07,0.788,
2008-10,0.787,
2009-01,0.807,
2009-04,0.820,
2009-07,0.856,
2009-10,0.883,
2010-01,0.897,
2010-04,0.895,
2010-07,0.905,
2010-10,0.914,
2011-01,0.905,
2011-04,0.891,
2011-07,0.884,
2011-10,0.892,
2012-01,0.955,
2012-04,0.938,
2012-07,0.944,
2012-10,0.967,
2013-01,0.962,
2013-04,0.952,
2013-07,0.948,
2013-10,0.954,
2014-01,0.948,
2014-04,0.937,
2014-07,0.958,
