"",BBK01.OEXI01N,BBK01.OEXI01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:30,
2002-01,103.387,
2002-04,103.727,
2002-07,103.163,
2002-10,109.093,
2003-01,110.151,
2003-04,108.894,
2003-07,108.513,
2003-10,114.514,
2004-01,113.094,
2004-04,110.506,
2004-07,109.859,
2004-10,38.988,
2005-01,44.116,
2005-04,47.489,
2005-07,45.393,
2005-10,46.333,
2006-01,46.201,
2006-04,49.114,
2006-07,48.152,
2006-10,49.383,
2007-01,51.689,
2007-04,53.496,
2007-07,56.743,
2007-10,57.485,
2008-01,60.121,
2008-04,61.121,
2008-07,63.844,
2008-10,68.085,
2009-01,69.262,
2009-04,68.983,
2009-07,71.662,
2009-10,71.240,
2010-01,76.157,
2010-04,76.283,
2010-07,75.481,
2010-10,80.047,
2011-01,81.466,
2011-04,82.773,
2011-07,85.014,
2011-10,83.116,
2012-01,83.146,
2012-04,83.954,
2012-07,83.634,
2012-10,90.972,
2013-01,92.637,
2013-04,94.349,
2013-07,93.735,
2013-10,93.920,
2014-01,97.583,
2014-04,94.234,
2014-07,98.047,
