"",BBK01.OEXM01O,BBK01.OEXM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:31,
2002-01,-0.301,
2002-04,-0.336,
2002-07,-0.150,
2002-10,-0.284,
2003-01,-0.263,
2003-04,-0.099,
2003-07,-0.121,
2003-10,-0.163,
2004-01,-0.502,
2004-04,-0.523,
2004-07,-0.369,
2004-10,-0.185,
2005-01,0.307,
2005-04,0.214,
2005-07,0.066,
2005-10,0.082,
2006-01,0.063,
2006-04,0.028,
2006-07,0.035,
2006-10,0.026,
2007-01,0.028,
2007-04,0.018,
2007-07,0.043,
2007-10,0.064,
2008-01,0.052,
2008-04,0.046,
2008-07,0.042,
2008-10,0.127,
2009-01,0.089,
2009-04,0.092,
2009-07,0.085,
2009-10,0.061,
2010-01,0.065,
2010-04,0.089,
2010-07,0.082,
2010-10,0.084,
2011-01,0.100,
2011-04,0.095,
2011-07,0.095,
2011-10,0.077,
2012-01,0.141,
2012-04,0.142,
2012-07,0.115,
2012-10,0.158,
2013-01,0.075,
2013-04,0.076,
2013-07,0.094,
2013-10,0.114,
2014-01,0.117,
2014-04,0.114,
2014-07,0.133,
