"",BBK01.OEAA45G,BBK01.OEAA45G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:38,
2002-01,42.643,
2002-04,41.310,
2002-07,41.633,
2002-10,39.031,
2003-01,38.879,
2003-04,39.773,
2003-07,39.783,
2003-10,38.387,
2004-01,38.788,
2004-04,37.723,
2004-07,35.468,
2004-10,34.394,
2005-01,26.909,
2005-04,26.246,
2005-07,26.103,
2005-10,26.195,
2006-01,26.023,
2006-04,26.829,
2006-07,27.171,
2006-10,27.982,
2007-01,27.314,
2007-04,26.830,
2007-07,25.685,
2007-10,25.446,
2008-01,24.076,
2008-04,25.605,
2008-07,27.407,
2008-10,27.256,
2009-01,26.977,
2009-04,27.602,
2009-07,28.217,
2009-10,28.655,
2010-01,28.324,
2010-04,28.837,
2010-07,31.799,
2010-10,32.296,
2011-01,30.409,
2011-04,30.216,
2011-07,29.970,
2011-10,30.091,
2012-01,30.250,
2012-04,29.976,
2012-07,29.249,
2012-10,29.668,
2013-01,29.024,
2013-04,28.773,
2013-07,28.368,
2013-10,29.105,
2014-01,29.148,
2014-04,28.493,
2014-07,28.616,
