"",BBFN1.M.DE.N.1.A.A1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.A1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:11,
1995-01,28.308,
1995-02,28.313,
1995-03,28.923,
1995-04,28.686,
1995-05,30.008,
1995-06,30.523,
1995-07,31.475,
1995-08,31.143,
1995-09,31.051,
1995-10,30.991,
1995-11,30.735,
1995-12,29.281,
1996-01,29.101,
1996-02,29.695,
1996-03,30.622,
1996-04,30.887,
1996-05,33.772,
1996-06,32.452,
1996-07,29.944,
1996-08,29.430,
1996-09,31.442,
1996-10,31.617,
1996-11,33.104,
1996-12,34.870,
1997-01,40.749,
1997-02,43.663,
1997-03,47.892,
1997-04,48.697,
1997-05,45.971,
1997-06,45.483,
1997-07,42.076,
1997-08,37.890,
1997-09,41.058,
1997-10,36.328,
1997-11,37.745,
1997-12,39.697,
1998-01,38.805,
1998-02,43.425,
1998-03,52.381,
1998-04,49.045,
1998-05,50.839,
1998-06,46.123,
1998-07,42.612,
1998-08,41.352,
1998-09,49.407,
1998-10,43.058,
1998-11,47.678,
1998-12,48.083,
1999-01,48.583,
1999-02,53.263,
1999-03,57.701,
1999-04,64.228,
1999-05,70.310,
1999-06,70.019,
1999-07,61.220,
1999-08,60.020,
1999-09,59.137,
1999-10,59.655,
1999-11,63.529,
1999-12,63.267,
2000-01,63.856,
2000-02,67.432,
2000-03,80.595,
2000-04,82.589,
2000-05,93.289,
2000-06,88.532,
2000-07,83.981,
2000-08,80.796,
2000-09,80.932,
2000-10,77.340,
2000-11,80.463,
2000-12,80.241,
2001-01,79.311,
2001-02,84.283,
2001-03,103.996,
2001-04,100.643,
2001-05,111.781,
2001-06,107.883,
2001-07,99.444,
2001-08,94.500,
2001-09,101.041,
2001-10,101.670,
2001-11,90.049,
2001-12,93.972,
2002-01,87.689,
2002-02,89.861,
2002-03,86.581,
2002-04,84.361,
2002-05,74.628,
2002-06,74.192,
2002-07,72.600,
2002-08,71.340,
2002-09,74.244,
2002-10,73.751,
2002-11,72.988,
2002-12,65.068,
2003-01,66.180,
2003-02,68.120,
2003-03,66.973,
2003-04,65.056,
2003-05,62.900,
2003-06,62.406,
2003-07,62.315,
2003-08,62.125,
2003-09,64.936,
2003-10,63.130,
2003-11,64.533,
2003-12,63.638,
2004-01,64.757,
2004-02,61.016,
2004-03,60.856,
2004-04,59.368,
2004-05,59.438,
2004-06,62.241,
2004-07,61.692,
2004-08,61.235,
2004-09,64.398,
2004-10,61.674,
2004-11,61.622,
2004-12,60.023,
2005-01,59.563,
2005-02,60.189,
2005-03,63.663,
2005-04,61.744,
2005-05,64.566,
2005-06,66.815,
2005-07,64.585,
2005-08,62.970,
2005-09,68.036,
2005-10,67.215,
2005-11,69.520,
2005-12,70.906,
2006-01,68.815,
2006-02,70.252,
2006-03,73.542,
2006-04,71.572,
2006-05,72.967,
2006-06,72.623,
2006-07,71.571,
2006-08,69.704,
2006-09,67.529,
2006-10,69.709,
2006-11,67.711,
2006-12,67.253,
2007-01,60.892,
2007-02,60.589,
2007-03,61.587,
2007-04,61.719,
2007-05,61.786,
2007-06,62.210,
2007-07,64.080,
2007-08,61.430,
2007-09,63.363,
2007-10,62.584,
2007-11,62.176,
2007-12,64.659,
2008-01,56.048,
2008-02,56.130,
2008-03,57.659,
2008-04,59.666,
2008-05,59.148,
2008-06,59.664,
2008-07,60.128,
2008-08,59.746,
2008-09,63.737,
2008-10,66.681,
2008-11,67.996,
2008-12,63.051,
2009-01,63.773,
2009-02,63.208,
2009-03,63.120,
2009-04,61.454,
2009-05,58.354,
2009-06,58.088,
2009-07,56.592,
2009-08,57.300,
2009-09,57.501,
2009-10,57.624,
2009-11,57.626,
2009-12,56.066,
2010-01,57.020,
2010-02,56.061,
2010-03,62.871,
2010-04,60.736,
2010-05,65.190,
2010-06,69.334,
2010-07,68.241,
2010-08,67.669,
2010-09,67.897,
2010-10,66.004,
2010-11,67.933,
2010-12,66.231,
2011-01,65.865,
2011-02,65.284,
2011-03,67.172,
2011-04,66.384,
2011-05,65.300,
2011-06,64.572,
2011-07,63.106,
2011-08,63.361,
2011-09,65.772,
2011-10,62.134,
2011-11,63.171,
2011-12,67.027,
2012-01,63.568,
2012-02,63.536,
2012-03,66.138,
2012-04,64.696,
2012-05,65.338,
2012-06,70.401,
2012-07,68.738,
2012-08,66.457,
2012-09,68.457,
2012-10,67.266,
2012-11,68.715,
2012-12,68.797,
2013-01,66.447,
2013-02,66.642,
2013-03,68.582,
2013-04,77.240,
2013-05,77.208,
2013-06,79.468,
2013-07,75.461,
2013-08,78.786,
2013-09,82.752,
2013-10,73.212,
2013-11,72.077,
2013-12,74.117,
2014-01,70.069,
2014-02,70.503,
2014-03,72.861,
2014-04,71.150,
2014-05,72.925,
2014-06,72.911,
2014-07,72.558,
2014-08,72.346,
2014-09,78.139,
2014-10,75.721,
2014-11,77.300,
2014-12,80.098,
"",General: Up to December including Niederl.Antillen,
