"",BBK01.OEXL06J,BBK01.OEXL06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:20,
2002-01,0.101,
2002-04,0.101,
2002-07,0.098,
2002-10,0.097,
2003-01,0.096,
2003-04,0.099,
2003-07,0.098,
2003-10,0.093,
2004-01,0.100,
2004-04,0.097,
2004-07,0.108,
2004-10,0.099,
2005-01,0.107,
2005-04,0.103,
2005-07,0.104,
2005-10,0.103,
2006-01,0.102,
2006-04,0.103,
2006-07,0.106,
2006-10,0.108,
2007-01,0.104,
2007-04,0.105,
2007-07,0.105,
2007-10,0.119,
2008-01,0.136,
2008-04,0.151,
2008-07,0.151,
2008-10,0.172,
2009-01,0.202,
2009-04,0.182,
2009-07,0.169,
2009-10,0.155,
2010-01,0.156,
2010-04,0.191,
2010-07,0.212,
2010-10,0.235,
2011-01,0.254,
2011-04,0.276,
2011-07,0.289,
2011-10,0.287,
2012-01,0.283,
2012-04,0.288,
2012-07,0.286,
2012-10,0.283,
2013-01,0.257,
2013-04,0.221,
2013-07,0.214,
2013-10,0.205,
2014-01,0.198,
2014-04,0.204,
2014-07,0.181,
