"",BBK01.OXA8C4,BBK01.OXA8C4_FLAGS
"",Short-term loans (including bills of exchange) to domestic non-financial corporations - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:46,
1999-01,203.474,
1999-02,202.414,
1999-03,201.519,
1999-04,198.156,
1999-05,197.806,
1999-06,207.301,
1999-07,201.939,
1999-08,197.986,
1999-09,202.177,
1999-10,203.066,
1999-11,208.149,
1999-12,212.248,
2000-01,212.423,
2000-02,216.936,
2000-03,219.734,
2000-04,224.159,
2000-05,219.894,
2000-06,222.267,
2000-07,213.875,
2000-08,214.679,
2000-09,223.187,
2000-10,221.579,
2000-11,225.169,
2000-12,227.532,
2001-01,226.134,
2001-02,229.017,
2001-03,235.235,
2001-04,230.424,
2001-05,233.241,
2001-06,238.192,
2001-07,231.116,
2001-08,224.483,
2001-09,229.756,
2001-10,227.386,
2001-11,230.981,
2001-12,234.301,
2002-01,227.343,
2002-02,227.233,
2002-03,229.427,
2002-04,227.567,
2002-05,223.862,
2002-06,226.786,
2002-07,219.979,
2002-08,216.093,
2002-09,220.865,
2002-10,215.275,
2002-11,217.168,
2002-12,214.836,
2003-01,212.866,
2003-02,209.382,
2003-03,206.902,
2003-04,203.620,
2003-05,200.075,
2003-06,205.562,
2003-07,198.997,
2003-08,195.527,
2003-09,198.943,
2003-10,195.000,
2003-11,196.744,
2003-12,193.254,
2004-01,187.605,
2004-02,187.332,
2004-03,188.302,
2004-04,185.283,
2004-05,179.934,
2004-06,181.823,
2004-07,176.190,
2004-08,174.790,
2004-09,175.564,
2004-10,174.351,
2004-11,177.960,
2004-12,170.821,
2005-01,167.030,
2005-02,168.228,
2005-03,169.903,
2005-04,168.692,
2005-05,167.751,
2005-06,170.255,
2005-07,165.466,
2005-08,161.201,
2005-09,168.063,
2005-10,164.691,
2005-11,160.882,
2005-12,158.175,
2006-01,158.646,
2006-02,155.190,
2006-03,157.238,
2006-04,159.819,
2006-05,156.989,
2006-06,161.275,
2006-07,160.914,
2006-08,158.223,
2006-09,160.900,
2006-10,160.660,
2006-11,161.241,
2006-12,158.104,
2007-01,158.378,
2007-02,157.195,
2007-03,157.854,
2007-04,159.147,
2007-05,159.709,
2007-06,162.600,
2007-07,162.408,
2007-08,162.857,
2007-09,167.187,
2007-10,166.371,
2007-11,167.925,
2007-12,175.712,
2008-01,174.081,
2008-02,178.201,
2008-03,181.962,
2008-04,183.546,
2008-05,184.142,
2008-06,188.877,
2008-07,184.682,
2008-08,184.588,
2008-09,187.016,
2008-10,186.732,
2008-11,188.616,
2008-12,190.635,
2009-01,189.669,
2009-02,186.646,
2009-03,187.898,
2009-04,183.640,
2009-05,182.233,
2009-06,178.532,
2009-07,167.682,
2009-08,166.042,
2009-09,164.642,
2009-10,158.832,
2009-11,156.278,
2009-12,143.822,
2010-01,145.359,
2010-02,144.759,
2010-03,143.913,
2010-04,140.181,
2010-05,142.378,
2010-06,143.657,
2010-07,137.251,
2010-08,135.441,
2010-09,137.589,
2010-10,136.572,
2010-11,137.153,
2010-12,132.798,
2011-01,134.674,
2011-02,139.256,
2011-03,140.225,
2011-04,138.234,
2011-05,138.821,
2011-06,141.577,
2011-07,141.199,
2011-08,138.990,
2011-09,142.653,
2011-10,140.307,
2011-11,141.770,
2011-12,135.972,
2012-01,138.791,
2012-02,141.640,
2012-03,142.480,
2012-04,141.880,
2012-05,142.217,
2012-06,144.182,
2012-07,142.700,
2012-08,140.375,
2012-09,144.252,
2012-10,139.791,
2012-11,140.821,
2012-12,135.489,
2013-01,134.773,
2013-02,137.757,
2013-03,140.133,
2013-04,136.418,
2013-05,135.809,
2013-06,136.901,
2013-07,133.604,
2013-08,133.482,
2013-09,135.516,
2013-10,132.248,
2013-11,131.942,
2013-12,129.851,
2014-01,128.565,
2014-02,130.413,
2014-03,132.210,
2014-04,131.149,
2014-05,131.570,
2014-06,136.247,
2014-07,131.760,
2014-08,130.440,
2014-09,131.770,
2014-10,128.589,
2014-11,131.065,
2014-12,127.881,Provisional value
