"",BBFN1.M.DE.N.1.A.DZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Algeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:16,
1994-12,0.198,
1995-01,0.178,
1995-02,0.176,
1995-03,0.170,
1995-04,0.168,
1995-05,0.152,
1995-06,0.149,
1995-07,0.147,
1995-08,0.142,
1995-09,0.149,
1995-10,0.146,
1995-11,0.144,
1995-12,0.151,
1996-01,0.149,
1996-02,0.163,
1996-03,0.214,
1996-04,0.209,
1996-05,0.163,
1996-06,0.129,
1996-07,0.133,
1996-08,0.128,
1996-09,0.139,
1996-10,0.129,
1996-11,0.132,
1996-12,0.144,
1997-01,0.132,
1997-02,0.135,
1997-03,0.100,
1997-04,0.101,
1997-05,0.109,
1997-06,0.112,
1997-07,0.116,
1997-08,0.116,
1997-09,0.112,
1997-10,0.112,
1997-11,0.100,
1997-12,0.100,
1998-01,0.094,
1998-02,0.110,
1998-03,0.106,
1998-04,0.092,
1998-05,0.111,
1998-06,0.120,
1998-07,0.100,
1998-08,0.092,
1998-09,0.096,
1998-10,0.093,
1998-11,0.085,
1998-12,0.096,
1999-01,0.094,
1999-02,0.094,
1999-03,0.100,
1999-04,0.092,
1999-05,0.110,
1999-06,0.133,
1999-07,0.136,
1999-08,0.127,
1999-09,0.121,
1999-10,0.117,
1999-11,0.127,
1999-12,0.135,
2000-01,0.123,
2000-02,0.122,
2000-03,0.123,
2000-04,0.137,
2000-05,0.125,
2000-06,0.144,
2000-07,0.129,
2000-08,0.131,
2000-09,0.125,
2000-10,0.124,
2000-11,0.131,
2000-12,0.139,
2001-01,0.124,
2001-02,0.126,
2001-03,0.125,
2001-04,0.132,
2001-05,0.135,
2001-06,0.130,
2001-07,0.123,
2001-08,0.130,
2001-09,0.140,
2001-10,0.153,
2001-11,0.151,
2001-12,0.160,
2002-01,0.137,
2002-02,0.148,
2002-03,0.129,
2002-04,0.137,
2002-05,0.138,
2002-06,0.151,
2002-07,0.150,
2002-08,0.151,
2002-09,0.164,
2002-10,0.167,
2002-11,0.166,
2002-12,0.141,
2003-01,0.129,
2003-02,0.151,
2003-03,0.138,
2003-04,0.143,
2003-05,0.141,
2003-06,0.133,
2003-07,0.129,
2003-08,0.133,
2003-09,0.136,
2003-10,0.155,
2003-11,0.162,
2003-12,0.202,
2004-01,0.188,
2004-02,0.198,
2004-03,0.208,
2004-04,0.184,
2004-05,0.221,
2004-06,0.243,
2004-07,0.236,
2004-08,0.238,
2004-09,0.239,
2004-10,0.223,
2004-11,0.231,
2004-12,0.225,
2005-01,0.233,
2005-02,0.229,
2005-03,0.243,
2005-04,0.237,
2005-05,0.254,
2005-06,0.255,
2005-07,0.277,
2005-08,0.262,
2005-09,0.301,
2005-10,0.313,
2005-11,0.321,
2005-12,0.280,
2006-01,0.281,
2006-02,0.273,
2006-03,0.262,
2006-04,0.278,
2006-05,0.289,
2006-06,0.306,
2006-07,0.314,
2006-08,0.306,
2006-09,0.325,
2006-10,0.334,
2006-11,0.322,
2006-12,0.334,
2007-01,0.329,
2007-02,0.316,
2007-03,0.324,
2007-04,0.335,
2007-05,0.351,
2007-06,0.365,
2007-07,0.380,
2007-08,0.383,
2007-09,0.371,
2007-10,0.366,
2007-11,0.381,
2007-12,0.396,
2008-01,0.386,
2008-02,0.412,
2008-03,0.431,
2008-04,0.451,
2008-05,0.437,
2008-06,0.433,
2008-07,0.442,
2008-08,0.466,
2008-09,0.462,
2008-10,0.487,
2008-11,0.523,
2008-12,0.553,
2009-01,0.519,
2009-02,0.547,
2009-03,0.609,
2009-04,0.636,
2009-05,0.776,
2009-06,0.819,
2009-07,0.817,
2009-08,0.776,
2009-09,0.816,
2009-10,0.813,
2009-11,0.839,
2009-12,0.850,
2010-01,0.853,
2010-02,0.876,
2010-03,0.867,
2010-04,0.885,
2010-05,0.886,
2010-06,0.928,
2010-07,0.919,
2010-08,0.921,
2010-09,0.945,
2010-10,0.949,
2010-11,0.931,
2010-12,0.917,
2011-01,0.878,
2011-02,0.876,
2011-03,0.892,
2011-04,0.870,
2011-05,0.866,
2011-06,0.907,
2011-07,0.915,
2011-08,0.866,
2011-09,0.875,
2011-10,0.873,
2011-11,0.891,
2011-12,0.961,
2012-01,0.866,
2012-02,0.902,
2012-03,0.982,
2012-04,0.982,
2012-05,1.028,
2012-06,0.975,
2012-07,0.961,
2012-08,1.008,
2012-09,0.943,
2012-10,0.940,
2012-11,1.028,
2012-12,1.112,
2013-01,1.058,
2013-02,1.069,
2013-03,1.131,
2013-04,1.060,
2013-05,1.104,
2013-06,1.045,
2013-07,1.020,
2013-08,1.016,
2013-09,0.965,
2013-10,0.925,
2013-11,0.950,
2013-12,1.039,
2014-01,0.925,
2014-02,0.896,
2014-03,0.431,
2014-04,0.445,
2014-05,0.457,
2014-06,0.454,
2014-07,0.432,
2014-08,0.439,
2014-09,0.449,
2014-10,0.489,
2014-11,0.511,
2014-12,0.613,
