"",BBK01.OEAH20K,BBK01.OEAH20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:36,
2002-01,0.665,
2002-04,0.480,
2002-07,0.399,
2002-10,0.403,
2003-01,0.122,
2003-04,0.123,
2003-07,0.119,
2003-10,0.107,
2004-01,0.123,
2004-04,0.123,
2004-07,0.122,
2004-10,0.148,
2005-01,0.194,
2005-04,0.396,
2005-07,0.447,
2005-10,0.433,
2006-01,0.407,
2006-04,0.410,
2006-07,0.373,
2006-10,0.190,
2007-01,0.191,
2007-04,0.185,
2007-07,0.251,
2007-10,0.388,
2008-01,0.525,
2008-04,0.618,
2008-07,0.673,
2008-10,0.716,
2009-01,0.893,
2009-04,0.930,
2009-07,0.955,
2009-10,0.938,
2010-01,0.684,
2010-04,0.541,
2010-07,0.392,
2010-10,0.328,
2011-01,0.333,
2011-04,0.399,
2011-07,0.498,
2011-10,0.826,
2012-01,0.987,
2012-04,1.176,
2012-07,1.238,
2012-10,1.152,
2013-01,1.109,
2013-04,1.395,
2013-07,1.581,
2013-10,1.546,
2014-01,1.529,
2014-04,1.447,
2014-07,1.281,
