"",BBK01.OEXB14J,BBK01.OEXB14J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:23,
2002-01,0.105,
2002-04,0.095,
2002-07,0.084,
2002-10,0.080,
2003-01,0.068,
2003-04,0.070,
2003-07,0.072,
2003-10,0.074,
2004-01,0.079,
2004-04,0.069,
2004-07,0.065,
2004-10,0.071,
2005-01,0.069,
2005-04,0.071,
2005-07,0.068,
2005-10,0.061,
2006-01,0.054,
2006-04,0.054,
2006-07,0.053,
2006-10,0.047,
2007-01,0.040,
2007-04,0.033,
2007-07,0.037,
2007-10,0.039,
2008-01,0.044,
2008-04,0.042,
2008-07,0.040,
2008-10,0.039,
2009-01,0.036,
2009-04,0.033,
2009-07,0.032,
2009-10,0.037,
2010-01,0.036,
2010-04,0.034,
2010-07,0.034,
2010-10,0.033,
2011-01,0.032,
2011-04,0.033,
2011-07,0.031,
2011-10,0.032,
2012-01,0.031,
2012-04,0.030,
2012-07,0.031,
2012-10,0.034,
2013-01,0.031,
2013-04,0.029,
2013-07,0.029,
2013-10,0.028,
2014-01,0.028,
2014-04,0.025,
2014-07,0.031,
