"",BBK01.BQM106,BBK01.BQM106_FLAGS
"","Central government debt - of which securities other than shares, excl. financial derivates - of which long-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:32,
2000-01,669959,
2000-04,672530,
2000-07,674639,
2000-10,684612,
2001-01,660674,
2001-04,664177,
2001-07,667582,
2001-10,672446,
2002-01,685556,
2002-04,692599,
2002-07,697647,
2002-10,697576,
2003-01,716278,
2003-04,718308,
2003-07,721503,
2003-10,732014,
2004-01,751744,
2004-04,760293,
2004-07,772039,
2004-10,776224,
2005-01,784056,
2005-04,802426,
2005-07,813913,
2005-10,823698,
2006-01,828210,
2006-04,841630,
2006-07,853356,
2006-10,860931,
2007-01,854893,
2007-04,871954,
2007-07,859590,
2007-10,880070,
2008-01,879276,
2008-04,882879,
2008-07,888595,
2008-10,887784,
2009-01,894152,
2009-04,912872,
2009-07,901546,
2009-10,908326,
2010-01,936296,Provisional value
2010-04,956271,Provisional value
2010-07,970497,Provisional value
2010-10,998070,Provisional value
2011-01,1013808,Provisional value
2011-04,1033274,Provisional value
2011-07,1032676,Provisional value
2011-10,1017209,Provisional value
2012-01,1047117,Provisional value
2012-04,1062900,Provisional value
2012-07,1082094,Provisional value
2012-10,1088794,Provisional value
2013-01,1099422,Provisional value
2013-04,1095447,Provisional value
2013-07,1101354,Provisional value
2013-10,1113028,Provisional value
2014-01,1129003,Provisional value
2014-04,1140075,Provisional value
2014-07,1137949,Provisional value
