"",BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F4.S._T.N.N,BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F4.S._T.N.N_FLAGS
"","IIP - Other Investment - Loans - Deposit taking corporations, except the Central Bank - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:03:28,
1999-10,51517,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,69911,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,98873,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,91932,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,110350,
2004-01,133333,
2004-04,124111,
2004-07,141277,
2004-10,135951,
2005-01,138863,
2005-04,140721,
2005-07,142218,
2005-10,132304,
2006-01,139730,
2006-04,151514,
2006-07,160501,
2006-10,155512,
2007-01,180893,
2007-04,191792,
2007-07,199553,
2007-10,197062,
2008-01,226383,
2008-04,193845,
2008-07,203067,
2008-10,151070,
2009-01,135067,
2009-04,142293,
2009-07,125319,
2009-10,116657,
2010-01,119280,
2010-04,134334,
2010-07,118991,
2010-10,112390,
2011-01,109823,
2011-04,121936,
2011-07,127303,
2011-10,101845,
2012-01,116192,
2012-04,109509,
2012-07,116340,
2012-10,104964,
2013-01,116513,
2013-04,109625,
2013-07,102108,
2013-10,100121,
2014-01,108727,
2014-04,116701,
2014-07,111119,
