"",BBK01.OEBB01M,BBK01.OEBB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:24,
2002-01,43.142,
2002-04,43.017,
2002-07,42.334,
2002-10,42.681,
2003-01,42.960,
2003-04,42.838,
2003-07,42.716,
2003-10,41.976,
2004-01,42.053,
2004-04,42.631,
2004-07,42.822,
2004-10,41.548,
2005-01,49.482,
2005-04,49.658,
2005-07,49.030,
2005-10,49.254,
2006-01,49.856,
2006-04,51.979,
2006-07,52.476,
2006-10,51.921,
2007-01,54.352,
2007-04,51.043,
2007-07,50.711,
2007-10,52.563,
2008-01,52.193,
2008-04,52.303,
2008-07,50.529,
2008-10,52.480,
2009-01,52.856,
2009-04,54.973,
2009-07,53.500,
2009-10,53.090,
2010-01,54.087,
2010-04,52.801,
2010-07,53.822,
2010-10,53.992,
2011-01,54.534,
2011-04,54.829,
2011-07,54.595,
2011-10,54.832,
2012-01,55.944,
2012-04,56.651,
2012-07,57.006,
2012-10,57.072,
2013-01,57.447,
2013-04,58.456,
2013-07,57.838,
2013-10,57.679,
2014-01,58.421,
2014-04,58.203,
2014-07,59.013,
