"",BBK01.OEYJ03K,BBK01.OEYJ03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:43,
2002-01,23.181,
2002-04,23.316,
2002-07,24.395,
2002-10,25.030,
2003-01,25.286,
2003-04,25.485,
2003-07,25.371,
2003-10,25.373,
2004-01,25.603,
2004-04,26.646,
2004-07,26.984,
2004-10,16.828,
2005-01,17.388,
2005-04,17.412,
2005-07,18.001,
2005-10,18.399,
2006-01,18.912,
2006-04,20.329,
2006-07,27.835,
2006-10,25.855,
2007-01,26.109,
2007-04,26.971,
2007-07,28.132,
2007-10,27.384,
2008-01,27.206,
2008-04,26.989,
2008-07,26.835,
2008-10,27.014,
2009-01,25.573,
2009-04,25.319,
2009-07,24.917,
2009-10,23.977,
2010-01,23.587,
2010-04,23.675,
2010-07,23.416,
2010-10,23.027,
2011-01,22.279,
2011-04,21.575,
2011-07,15.070,
2011-10,14.873,
2012-01,14.345,
2012-04,14.209,
2012-07,14.002,
2012-10,13.752,
2013-01,13.623,
2013-04,13.400,
2013-07,13.098,
2013-10,12.581,
2014-01,11.869,
2014-04,12.179,
2014-07,12.062,
