"",BBK01.OEXB16S,BBK01.OEXB16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:05,
2002-01,0.349,
2002-04,0.352,
2002-07,0.357,
2002-10,0.367,
2003-01,0.368,
2003-04,0.377,
2003-07,0.388,
2003-10,0.388,
2004-01,0.389,
2004-04,0.385,
2004-07,0.387,
2004-10,0.394,
2005-01,0.404,
2005-04,0.408,
2005-07,0.405,
2005-10,0.383,
2006-01,0.385,
2006-04,0.389,
2006-07,0.391,
2006-10,0.400,
2007-01,0.398,
2007-04,0.409,
2007-07,0.421,
2007-10,0.474,
2008-01,0.449,
2008-04,0.456,
2008-07,0.461,
2008-10,0.470,
2009-01,0.471,
2009-04,0.478,
2009-07,0.479,
2009-10,0.493,
2010-01,0.496,
2010-04,0.500,
2010-07,0.509,
2010-10,0.510,
2011-01,0.507,
2011-04,0.513,
2011-07,0.518,
2011-10,0.528,
2012-01,0.534,
2012-04,0.539,
2012-07,0.546,
2012-10,0.550,
2013-01,0.551,
2013-04,0.556,
2013-07,0.551,
2013-10,0.556,
2014-01,0.559,
2014-04,0.547,
2014-07,0.553,
