"",BBK01.OEXB16H,BBK01.OEXB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:06,
2002-01,1.846,
2002-04,1.832,
2002-07,1.819,
2002-10,1.774,
2003-01,1.828,
2003-04,1.745,
2003-07,1.724,
2003-10,1.730,
2004-01,1.684,
2004-04,1.604,
2004-07,1.618,
2004-10,1.599,
2005-01,1.630,
2005-04,1.604,
2005-07,1.628,
2005-10,1.600,
2006-01,1.613,
2006-04,1.609,
2006-07,1.594,
2006-10,1.636,
2007-01,1.676,
2007-04,1.678,
2007-07,1.712,
2007-10,1.735,
2008-01,1.753,
2008-04,1.765,
2008-07,1.787,
2008-10,1.804,
2009-01,1.835,
2009-04,1.846,
2009-07,1.908,
2009-10,1.848,
2010-01,1.883,
2010-04,1.944,
2010-07,1.955,
2010-10,1.731,
2011-01,1.751,
2011-04,1.739,
2011-07,1.698,
2011-10,1.725,
2012-01,1.748,
2012-04,1.766,
2012-07,1.779,
2012-10,1.780,
2013-01,1.788,
2013-04,1.819,
2013-07,1.845,
2013-10,1.854,
2014-01,1.870,
2014-04,1.920,
2014-07,1.923,
