"",BBK01.OEHI02M,BBK01.OEHI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:33,
2002-01,14.858,
2002-04,15.035,
2002-07,14.986,
2002-10,16.066,
2003-01,16.073,
2003-04,16.237,
2003-07,16.247,
2003-10,17.112,
2004-01,16.899,
2004-04,17.069,
2004-07,16.814,
2004-10,17.618,
2005-01,17.405,
2005-04,17.660,
2005-07,17.859,
2005-10,18.507,
2006-01,17.981,
2006-04,18.039,
2006-07,18.065,
2006-10,18.839,
2007-01,18.452,
2007-04,18.961,
2007-07,19.006,
2007-10,19.817,
2008-01,19.191,
2008-04,19.376,
2008-07,19.260,
2008-10,20.856,
2009-01,22.782,
2009-04,24.091,
2009-07,25.008,
2009-10,26.510,
2010-01,26.492,
2010-04,27.170,
2010-07,27.206,
2010-10,27.795,
2011-01,27.024,
2011-04,27.263,
2011-07,27.533,
2011-10,28.314,
2012-01,28.217,
2012-04,28.884,
2012-07,30.246,
2012-10,31.673,
2013-01,31.995,
2013-04,32.999,
2013-07,33.733,
2013-10,34.496,
2014-01,34.947,
2014-04,35.516,
2014-07,36.085,
