"",BBK01.OEYL04J,BBK01.OEYL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:14,
2002-01,0.099,
2002-04,0.084,
2002-07,0.096,
2002-10,0.104,
2003-01,0.087,
2003-04,0.086,
2003-07,0.084,
2003-10,0.080,
2004-01,0.173,
2004-04,0.176,
2004-07,0.081,
2004-10,0.038,
2005-01,0.048,
2005-04,0.040,
2005-07,0.031,
2005-10,0.032,
2006-01,0.036,
2006-04,0.047,
2006-07,0.050,
2006-10,0.050,
2007-01,0.071,
2007-04,0.071,
2007-07,0.084,
2007-10,0.193,
2008-01,0.167,
2008-04,0.186,
2008-07,0.245,
2008-10,0.333,
2009-01,0.239,
2009-04,0.257,
2009-07,0.158,
2009-10,0.075,
2010-01,0.048,
2010-04,0.027,
2010-07,0.038,
2010-10,0.067,
2011-01,0.052,
2011-04,0.068,
2011-07,0.069,
2011-10,0.067,
2012-01,0.061,
2012-04,0.031,
2012-07,0.030,
2012-10,0.024,
2013-01,0.020,
2013-04,0.010,
2013-07,0.008,
2013-10,0.008,
2014-01,0.007,
2014-04,0.007,
2014-07,0.006,
