"",BBK01.OEAC22O,BBK01.OEAC22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:03,
2002-01,0.186,
2002-04,0.196,
2002-07,0.178,
2002-10,0.179,
2003-01,0.183,
2003-04,0.221,
2003-07,0.178,
2003-10,0.205,
2004-01,0.197,
2004-04,0.196,
2004-07,0.169,
2004-10,0.174,
2005-01,0.171,
2005-04,0.165,
2005-07,0.153,
2005-10,0.169,
2006-01,0.169,
2006-04,0.167,
2006-07,0.166,
2006-10,0.155,
2007-01,0.149,
2007-04,0.145,
2007-07,0.150,
2007-10,0.157,
2008-01,0.172,
2008-04,0.182,
2008-07,0.162,
2008-10,0.161,
2009-01,0.166,
2009-04,0.152,
2009-07,0.154,
2009-10,0.157,
2010-01,0.144,
2010-04,0.168,
2010-07,0.166,
2010-10,0.144,
2011-01,0.156,
2011-04,0.163,
2011-07,0.165,
2011-10,0.187,
2012-01,0.198,
2012-04,0.198,
2012-07,0.196,
2012-10,0.199,
2013-01,0.202,
2013-04,0.194,
2013-07,0.184,
2013-10,0.210,
2014-01,0.226,
2014-04,0.169,
2014-07,0.179,
