"",BBK01.OEHO02J,BBK01.OEHO02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:23,
2002-01,0.551,
2002-04,0.379,
2002-07,0.396,
2002-10,0.397,
2003-01,0.442,
2003-04,0.382,
2003-07,0.412,
2003-10,0.452,
2004-01,0.521,
2004-04,0.416,
2004-07,0.433,
2004-10,0.481,
2005-01,0.512,
2005-04,0.389,
2005-07,0.371,
2005-10,0.410,
2006-01,0.483,
2006-04,0.395,
2006-07,0.401,
2006-10,0.460,
2007-01,0.519,
2007-04,0.452,
2007-07,0.372,
2007-10,0.415,
2008-01,0.442,
2008-04,0.341,
2008-07,0.349,
2008-10,0.537,
2009-01,0.563,
2009-04,0.409,
2009-07,0.367,
2009-10,0.522,
2010-01,0.346,
2010-04,0.240,
2010-07,0.236,
2010-10,0.240,
2011-01,0.280,
2011-04,0.242,
2011-07,0.252,
2011-10,0.259,
2012-01,0.331,
2012-04,0.277,
2012-07,0.270,
2012-10,0.309,
2013-01,0.334,
2013-04,0.262,
2013-07,0.257,
2013-10,0.261,
2014-01,0.274,
2014-04,0.243,
2014-07,0.222,
