"",BBK01.OEAE25V,BBK01.OEAE25V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:43,
2002-01,0.056,
2002-04,0.055,
2002-07,0.054,
2002-10,0.054,
2003-01,0.059,
2003-04,0.054,
2003-07,0.054,
2003-10,0.090,
2004-01,0.093,
2004-04,0.098,
2004-07,0.103,
2004-10,0.111,
2005-01,0.128,
2005-04,0.139,
2005-07,0.146,
2005-10,0.173,
2006-01,0.177,
2006-04,0.189,
2006-07,0.178,
2006-10,0.178,
2007-01,0.083,
2007-04,0.083,
2007-07,0.082,
2007-10,0.071,
2008-01,0.057,
2008-04,0.058,
2008-07,0.054,
2008-10,0.054,
2009-01,0.059,
2009-04,0.059,
2009-07,0.059,
2009-10,0.057,
2010-01,0.055,
2010-04,0.069,
2010-07,0.074,
2010-10,0.064,
2011-01,0.063,
2011-04,0.059,
2011-07,0.064,
2011-10,0.057,
2012-01,0.055,
2012-04,0.103,
2012-07,0.104,
2012-10,0.112,
2013-01,0.118,
2013-04,0.119,
2013-07,0.122,
2013-10,0.128,
2014-01,0.126,
2014-04,0.125,
2014-07,0.118,
