"",BBK01.OELM01T,BBK01.OELM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:30,
2002-01,0.037,
2002-04,0.040,
2002-07,0.078,
2002-10,0.112,
2003-01,0.074,
2003-04,0.070,
2003-07,0.083,
2003-10,0.106,
2004-01,0.136,
2004-04,0.117,
2004-07,0.134,
2004-10,0.131,
2005-01,0.050,
2005-04,0.056,
2005-07,0.049,
2005-10,0.063,
2006-01,0.059,
2006-04,0.059,
2006-07,0.056,
2006-10,0.064,
2007-01,0.054,
2007-04,0.057,
2007-07,0.056,
2007-10,0.060,
2008-01,0.060,
2008-04,0.057,
2008-07,0.049,
2008-10,0.057,
2009-01,0.050,
2009-04,0.054,
2009-07,0.048,
2009-10,0.054,
2010-01,0.046,
2010-04,0.045,
2010-07,0.045,
2010-10,0.045,
2011-01,0.041,
2011-04,0.038,
2011-07,0.033,
2011-10,0.039,
2012-01,0.037,
2012-04,0.045,
2012-07,0.040,
2012-10,0.059,
2013-01,0.052,
2013-04,0.054,
2013-07,0.049,
2013-10,0.059,
2014-01,0.170,
2014-04,0.132,
2014-07,0.091,
