"",BBFB1.Q.N.DE.SI.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:40,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,0.006,
1992-07,0.123,
1992-10,0.066,
1993-01,0.228,
1993-04,1.033,
1993-07,1.234,
1993-10,0.889,
1994-01,1.622,
1994-04,0.969,
1994-07,0.550,
1994-10,0.552,
1995-01,0.645,
1995-04,1.497,
1995-07,0.355,
1995-10,1.135,
1996-01,0.532,
1996-04,0.397,
1996-07,1.396,
1996-10,0.640,
1997-01,0.522,
1997-04,0.872,
1997-07,1.058,
1997-10,1.029,
1998-01,0.753,
1998-04,1.433,
1998-07,0.453,
1998-10,1.467,
1999-01,0.549,
1999-04,0.734,
1999-07,0.934,
1999-10,0.354,
2000-01,0.055,
2000-04,0.569,
2000-07,1.068,
2000-10,0.577,
2001-01,0.185,
2001-04,0.803,
2001-07,0.782,
2001-10,0.608,
2002-01,0.475,
2002-04,0.677,
2002-07,0.573,
2002-10,0.370,
2003-01,-0.137,
2003-04,0.625,
2003-07,0.336,
2003-10,0.972,
2004-01,1.052,
2004-04,1.893,
2004-07,1.748,
2004-10,1.286,
2005-01,1.234,
2005-04,1.906,
2005-07,1.534,
2005-10,1.620,
2006-01,2.962,
2006-04,2.774,
2006-07,3.220,
2006-10,2.104,
2007-01,2.013,
2007-04,2.507,
2007-07,3.671,
2007-10,3.138,
2008-01,1.539,
2008-04,3.314,
2008-07,2.794,
2008-10,2.898,
2009-01,3.849,
2009-04,4.349,
2009-07,3.686,
2009-10,3.125,
2010-01,4.262,
2010-04,4.614,
2010-07,3.247,
2010-10,4.221,
2011-01,3.700,
2011-04,5.141,
2011-07,3.803,
2011-10,4.093,
2012-01,3.295,
2012-04,4.416,
2012-07,5.787,
2012-10,5.280,
2013-01,5.376,
2013-04,4.281,
2013-07,5.317,
2013-10,4.951,
2014-01,3.750,Provisional value
2014-04,5.504,Provisional value
2014-07,6.554,Provisional value
