"",BBK01.OEHB23O,BBK01.OEHB23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:26,
2002-01,0.034,
2002-04,0.035,
2002-07,0.069,
2002-10,0.074,
2003-01,0.074,
2003-04,0.099,
2003-07,0.072,
2003-10,0.064,
2004-01,0.106,
2004-04,0.107,
2004-07,0.110,
2004-10,0.109,
2005-01,0.105,
2005-04,0.128,
2005-07,0.144,
2005-10,0.193,
2006-01,0.208,
2006-04,0.208,
2006-07,0.203,
2006-10,0.221,
2007-01,0.229,
2007-04,0.237,
2007-07,0.248,
2007-10,0.239,
2008-01,0.270,
2008-04,0.275,
2008-07,0.296,
2008-10,0.271,
2009-01,0.236,
2009-04,0.236,
2009-07,0.237,
2009-10,0.283,
2010-01,0.354,
2010-04,0.382,
2010-07,0.425,
2010-10,0.419,
2011-01,0.428,
2011-04,0.398,
2011-07,0.480,
2011-10,0.485,
2012-01,0.511,
2012-04,0.537,
2012-07,0.552,
2012-10,0.522,
2013-01,0.537,
2013-04,0.521,
2013-07,0.482,
2013-10,0.450,
2014-01,0.452,
2014-04,0.444,
2014-07,0.411,
